pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
Kepler-32 b,Kepler-32,2011,Transit,5.90124,2.2,0.2,-0.2,3900.0,0.53,0.09090909090909091
K2-193 b,K2-193,2018,Transit,14.786889,3.95,0.12,-0.12,5817.0,0.98,0.030379746835443037
HD 15906 c,HD 15906,2023,Transit,21.583298,2.93,0.07,-0.06,4757.0,0.762,0.023890784982935155
TOI-1839 c,TOI-1839,2026,Transit,4.02393854207,2.40867246,0.42638903,-0.26892818,5315.91,0.848099,0.1770224208898872
TOI-871 b,TOI-871,2024,Transit,14.362565,1.664,0.114,-0.113,4929.0,0.719,0.06850961538461539
Kepler-1649 b,Kepler-1649,2017,Transit,8.689099,1.017,0.051,-0.051,3240.0,0.2317,0.05014749262536873
K2-83 b,K2-83,2016,Transit,2.74697,1.244,0.098,-0.098,3910.0,0.424,0.07877813504823152
Kepler-1191 b,Kepler-1191,2016,Transit,5.60014851,1.51,0.13,-0.11,5308.0,0.81,0.08609271523178808
TOI-4638.01,TOI-4638,2024,Transit,10.283918787,2.933,0.376,-0.245,5700.0,0.895,0.12819638595294922
Kepler-1337 b,Kepler-1337,2016,Transit,24.4002549,2.41,0.1,-0.44,4523.0,0.67,0.1825726141078838
TOI-1054.01,TOI-1054,2021,Transit,15.5077855,2.43432,0.142957,-0.142957,6122.0,1.17,0.05872564001445989
Kepler-296 c,Kepler-296,2014,Transit,5.8416366,2.0,0.33,-0.32,3740.0,0.48,0.165
Kepler-625 b,Kepler-625,2016,Transit,7.75192492,1.99,0.06,-0.05,5789.0,0.96,0.03015075376884422
Kepler-1302 b,Kepler-1302,2016,Transit,8.83922659,1.43,0.15,-0.09,5236.0,0.82,0.1048951048951049
K2-129 b,K2-129,2017,Transit,8.239493,1.04,0.1,-0.09,3459.09,0.36001,0.09615384615384616
Kepler-977 b,Kepler-977,2016,Transit,26.85328322,2.62,0.17,-0.17,5315.0,0.83,0.0648854961832061
Kepler-1178 b,Kepler-1178,2016,Transit,31.80634,1.07,0.06,-0.08,4990.0,0.75,0.07476635514018691
K2-407 b,K2-407,2022,Transit,4.941907,1.283,0.097,-0.089,5563.0,0.927,0.07560405300077944
K2-340 b,K2-340,2021,Transit,29.740451,3.36,0.44,-0.32,5532.0,1.13,0.13095238095238096
K2-255 b,K2-255,2018,Transit,1.96417,2.9,0.28,-0.11,4676.0,0.69,0.09655172413793105
TIC 434398831 b,TIC 434398831,2025,Transit,3.685504,3.51,0.22,-0.21,5638.0,0.909,0.06267806267806268
Kepler-1334 b,Kepler-1334,2016,Transit,15.64591713,2.29,0.31,-0.18,5614.0,0.91,0.13537117903930132
Kepler-480 b,Kepler-480,2016,Transit,4.919583795,2.78,0.29,-0.21,6322.0,1.34,0.10431654676258993
K2-35 c,K2-35,2016,Transit,5.608352,1.93,0.13,-0.11,4402.71,0.619575,0.06735751295336788
K2-252 b,K2-252,2018,Transit,13.81513,1.74,0.17,-0.12,5152.0,0.82,0.09770114942528736
