pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
K2-414 c,K2-414,2022,Transit,6.669,1.9287,0.063,-0.0728,4343.0,0.732
K2-148 b,K2-148,2018,Transit,4.38395,1.33,0.19,-0.18,4079.0,0.632
Kepler-633 b,Kepler-633,2016,Transit,8.50340718,1.63,0.31,-0.21,5899.0,1.15
Kepler-61 b,Kepler-61,2013,Transit,59.87756,2.15,0.13,-0.13,4017.0,0.62
TOI-4562 b,TOI-4562,2023,Transit,225.1064,12.53,0.15,-0.15,6096.0,1.152
Kepler-1154 c,Kepler-1154,2016,Transit,8.45808312,2.36,0.95,-0.49,6327.0,1.43
Kepler-241 c,Kepler-241,2014,Transit,36.065978,2.57,1.11,-1.11,4699.0,0.668
Kepler-863 b,Kepler-863,2016,Transit,15.59461874,2.9,0.68,-0.32,5678.0,0.95
CoRoT-35 b,CoRoT-35,2022,Transit,3.22748,18.83108758,1.23298788,-1.23298788,6390.0,1.65
Kepler-1127 b,Kepler-1127,2016,Transit,5.12330347,1.96,0.31,-0.42,5664.0,0.95
Kepler-51 d,Kepler-51,2014,Transit,130.194,9.7,0.5,-0.5,6018.0,0.94
Kepler-1234 b,Kepler-1234,2016,Transit,11.94014029,2.81,0.16,-0.81,4967.0,0.76
HAT-P-27 b,HAT-P-27,2011,Transit,3.039577,11.43,0.78,-0.67,5316.0,0.864673
Kepler-1934 b,Kepler-1934,2021,Transit,1.419759989,0.91307734,,,5925.0,1.035
GJ 3090 b,GJ 3090,2022,Transit,2.85310198,2.18,0.06,-0.06,3707.0,0.516
Kepler-1344 b,Kepler-1344,2016,Transit,4.7683049,1.84,0.5,-0.2,5981.0,1.13
Kepler-1124 b,Kepler-1124,2016,Transit,2.852348975,1.28,0.12,-0.07,3658.0,0.34
Kepler-117 c,Kepler-117,2014,Transit,50.790391,12.341,0.392,-0.392,6150.0,1.606
K2-97 b,K2-97,2016,Transit,8.407115,13.45077684,1.23298788,-1.23298788,4673.0,4.14
