pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
Kepler-757 b,Kepler-757,2016,Transit,1.022678821,0.0,,,0.12133107,0.00761,1.08,6014.0
GJ 720 A b,GJ 720 A,2021,Radial Velocity,19.466,0.12,0.05,-0.06,0.336,0.04291624,0.57,3837.0
Kepler-1850 b,Kepler-1850,2021,Transit,1.385800004,0.0,,,0.06504576,0.000985,0.611,4239.0
KOI-1783.02,KOI-1783,2020,Transit,284.215,0.0,,,0.48532429,0.04719504,1.076,5922.0
Kepler-229 d,Kepler-229,2014,Transit,41.194912,0.0,,,0.343,0.0445,0.808,5120.0
Gl 686 b,Gl 686,2018,Radial Velocity,15.53,0.05,0.03,-0.03,0.22,0.02084133,0.426,3656.0
HD 44219 b,HD 44219,2010,Radial Velocity,472.0,0.41,0.12,-0.14,1.26,0.58,1.2,5752.0
Kepler-484 b,Kepler-484,2016,Transit,10.045569313,0.0,,,0.20340798,0.0183,0.96,5668.0
Kepler-142 c,Kepler-142,2014,Transit,4.761702,0.0,,,0.255,0.0269,0.978,5790.0
HD 72659 b,HD 72659,2002,Radial Velocity,3549.0,0.2393,0.0098,-0.0098,1.17,2.988,1.033,5929.0
Kepler-257 d,Kepler-257,2014,Transit,24.664551,0.0,,,0.442,0.0683,0.916,5180.0
TOI-6029 b,TOI-6029,2024,Transit,5.7987,0.091,0.017,-0.015,1.284,1.635,1.548,6223.0
K2-138 c,K2-138,2017,Transit,3.56004,0.045,0.051,-0.032,0.20510304,0.01985338,0.935,5356.3
TOI-2570 b,TOI-2570,2022,Transit,2.9887615,0.0,0.048,-0.052,1.217,0.82,1.063,5771.0
Kepler-629 b,Kepler-629,2016,Transit,7.2385854,0.0,,,0.12311535,0.0078,0.93,5444.0
Kepler-11 b,Kepler-11,2010,Transit,10.3039,0.045,0.068,-0.042,0.161,0.006,0.961,5663.0
HD 179949 b,HD 179949,2000,Radial Velocity,3.092514,0.022,0.015,-0.015,1.24,0.916,1.21,6168.0
kap CrB b,kap CrB,2007,Radial Velocity,1253.68,0.04,0.013,-0.032,1.19,2.17,1.33,4840.0
Kepler-1353 b,Kepler-1353,2016,Transit,24.7543966,0.0,,,0.16058524,0.0123,0.76,4776.0
Kepler-652 b,Kepler-652,2016,Transit,4.182002531,0.0,,,0.22214292,0.0213,0.97,5490.0
Kepler-386 b,Kepler-386,2014,Transit,12.31043,0.0,,,0.124,0.0079,0.825,5178.0
NGTS-26 b,NGTS-26,2024,Transit,4.5199279,0.0,,,1.328,0.292,0.96,5550.0
Kepler-1502 b,Kepler-1502,2016,Transit,41.7083629,0.0,,,0.2837006,0.0322,1.44,6666.0
HD 106315 c,HD 106315,2017,Transit,21.05704,0.22,0.15,-0.15,0.38808101,0.04782431,1.091,6327.0
Kepler-1548 b,Kepler-1548,2016,Transit,124.828679,0.0,,,0.23552502,0.0235,0.99,5706.0
HD 60532 c,HD 60532,2008,Radial Velocity,600.1,0.03,0.02,-0.02,1.18,2.51,1.5,6245.0
WASP-166 b,WASP-166,2019,Transit,5.44354,0.0,,,0.63,0.101,1.19,6050.0
Kepler-175 c,Kepler-175,2014,Transit,34.035257,0.0,,,0.277,0.0308,0.969,6064.0
WASP-84 b,WASP-84,2014,Transit,8.52349648,0.0,,,0.956,0.692,0.853,5280.0
Kepler-1861 b,Kepler-1861,2021,Transit,40.0306015,0.0,,,0.19687554,0.0173,1.161,5855.0
Kepler-398 d,Kepler-398,2016,Transit,6.83437001,0.0,,,0.07850834,0.00193,0.72,4557.0
TOI-2295 c,TOI-2295,2024,Radial Velocity,966.5,0.194,0.012,-0.012,1.14,5.61,1.168,5730.0
TOI-6448 b,TOI-6448,2025,Transit,14.844261,0.2,0.26,-0.12,0.756,0.17,1.03,5910.0
TOI-1064 c,TOI-1064,2022,Transit,12.226574,0.088,0.081,-0.064,0.23650679,0.00786588,0.748,4734.0
WASP-101 b,WASP-101,2014,Transit,3.58572,0.0,,,1.43,0.51,1.41,6380.0
