wavelength_approx_A,flux_approx,pixel_x,pixel_y
4731.559854897219,20.61855670103093,276,160.0
4737.605804111246,20.25773195876289,277,163.5
4743.651753325272,19.587628865979383,278,170.0
4749.697702539299,19.536082474226806,279,170.5
4755.743651753325,19.536082474226806,280,170.5
4761.789600967352,19.84536082474227,281,167.5
4767.8355501813785,17.835051546391753,282,187.0
4773.881499395406,18.453608247422682,283,181.0
4779.927448609432,17.938144329896907,284,186.0
4785.973397823458,17.52577319587629,285,190.0
4792.019347037485,16.443298969072167,286,200.5
4798.065296251511,17.061855670103093,287,194.5
4804.111245465538,17.422680412371136,288,191.0
4810.157194679565,14.845360824742269,289,216.0
4816.203143893591,15.463917525773198,290,210.0
4822.249093107618,13.144329896907218,291,232.5
4828.295042321644,13.09278350515464,292,233.0
4834.3409915356715,13.29896907216495,293,231.0
4840.386940749698,11.030927835051548,294,253.0
4846.432889963724,10.567010309278352,295,257.5
4852.478839177751,7.731958762886599,296,285.0
4858.524788391777,7.268041237113403,297,289.5
4864.570737605804,9.329896907216495,298,269.5
4870.616686819831,10.97938144329897,299,253.5
4876.662636033858,10.77319587628866,300,255.5
4882.708585247884,12.628865979381445,301,237.5
4888.75453446191,12.835051546391753,302,235.5
4894.800483675937,13.814432989690722,303,226.0
4900.846432889964,15.000000000000002,304,214.5
4906.892382103991,14.587628865979383,305,218.5
4912.938331318017,14.63917525773196,306,218.0
4918.984280532044,15.567010309278352,307,209.0
4925.03022974607,16.443298969072167,308,200.5
4931.0761789600965,15.876288659793815,309,206.0
4937.122128174124,15.979381443298971,310,205.0
4943.16807738815,15.721649484536083,311,207.5
4949.214026602176,15.824742268041238,312,206.5
4955.259975816203,16.855670103092784,313,196.5
4961.305925030229,16.54639175257732,314,199.5
4967.351874244257,15.61855670103093,315,208.5
4973.397823458283,16.649484536082475,316,198.5
4979.44377267231,16.95876288659794,317,195.5
4985.489721886336,16.18556701030928,318,203.0
4991.535671100362,16.1340206185567,319,203.5
4997.5816203143895,16.23711340206186,320,202.5
5003.627569528416,17.216494845360828,321,193.0
5009.673518742443,16.443298969072167,322,200.5
5015.719467956469,16.90721649484536,323,196.0
5021.765417170496,16.494845360824744,324,200.0
5027.811366384522,16.95876288659794,325,195.5
5033.857315598549,16.75257731958763,326,197.5
5039.903264812576,16.18556701030928,327,203.0
5045.949214026602,15.61855670103093,328,208.5
5051.995163240629,16.855670103092784,329,196.5
5058.041112454655,16.5979381443299,330,199.0
5064.0870616686825,16.5979381443299,331,199.0
5070.133010882709,16.494845360824744,332,200.0
5076.178960096735,16.649484536082475,333,198.5
5082.224909310762,16.39175257731959,334,201.0
5088.270858524788,16.030927835051546,335,204.5
5094.3168077388145,16.649484536082475,336,198.5
5100.362756952842,17.11340206185567,337,194.0
5106.408706166869,15.515463917525775,338,209.5
5112.454655380895,15.309278350515465,339,211.5
5118.500604594921,16.030927835051546,340,204.5
5124.546553808948,15.051546391752579,341,214.0
5130.592503022975,15.979381443298971,342,205.0
5136.638452237001,15.876288659793815,343,206.0
5142.684401451028,16.1340206185567,344,203.5
5148.730350665054,16.39175257731959,345,201.0
5154.776299879081,15.515463917525775,346,209.5
5160.8222490931075,14.226804123711341,347,222.0
5166.868198307135,15.927835051546394,348,205.5
5172.914147521161,15.61855670103093,349,208.5
5178.960096735187,15.000000000000002,350,214.5
5185.006045949214,16.082474226804123,351,204.0
5191.0519951632405,15.463917525773198,352,210.0
5197.097944377268,16.030927835051546,353,204.5
5203.143893591294,15.154639175257733,354,213.0
5209.189842805321,15.000000000000002,355,214.5
5215.235792019347,14.536082474226806,356,219.0
5221.281741233373,15.309278350515465,357,211.5
5227.3276904474005,14.845360824742269,358,216.0
5233.373639661427,14.793814432989691,359,216.5
5239.419588875453,15.309278350515465,360,211.5
5245.46553808948,15.412371134020619,361,210.5
5251.511487303507,15.000000000000002,362,214.5
5257.5574365175335,14.278350515463918,363,221.5
5263.60338573156,14.793814432989691,364,216.5
5269.649334945587,14.381443298969073,365,220.5
5275.695284159613,15.000000000000002,366,214.5
5281.741233373639,14.484536082474229,367,219.5
5287.787182587666,14.226804123711341,368,222.0
5293.833131801693,14.43298969072165,369,220.0
5299.87908101572,14.484536082474229,370,219.5
5305.925030229746,14.690721649484537,371,217.5
5311.970979443773,14.536082474226806,372,219.0
5318.016928657799,14.742268041237114,373,217.0
5324.062877871826,14.381443298969073,374,220.5
5330.108827085853,15.051546391752579,375,214.0
5336.154776299879,12.731958762886599,376,236.5
5342.200725513906,14.43298969072165,377,220.0
5348.246674727932,14.742268041237114,378,217.0
5354.292623941959,14.742268041237114,379,217.0
5360.338573155986,14.381443298969073,380,220.5
5366.384522370012,14.484536082474229,381,219.5
5372.430471584039,13.402061855670103,382,230.0
5378.476420798065,13.402061855670103,383,230.0
5384.522370012091,13.762886597938145,384,226.5
5390.568319226119,13.814432989690722,385,226.0
5396.614268440146,13.247422680412372,386,231.5
5402.660217654172,13.814432989690722,387,226.0
5408.706166868198,13.762886597938145,388,226.5
5414.752116082225,13.762886597938145,389,226.5
5420.7980652962515,13.917525773195877,390,225.0
5426.844014510278,13.917525773195877,391,225.0
5432.889963724305,13.814432989690722,392,226.0
5438.935912938331,13.556701030927837,393,228.5
5444.981862152358,13.762886597938145,394,226.5
5451.027811366384,13.762886597938145,395,226.5
5457.0737605804115,13.247422680412372,396,231.5
5463.119709794438,13.195876288659795,397,232.0
5469.165659008464,13.247422680412372,398,231.5
5475.211608222491,13.556701030927837,399,228.5
5481.257557436517,13.402061855670103,400,230.0
5487.3035066505445,13.29896907216495,401,231.0
5493.349455864571,13.45360824742268,402,229.5
5499.395405078598,12.371134020618557,403,240.0
5505.441354292624,12.783505154639176,404,236.0
5511.48730350665,13.195876288659795,405,232.0
5517.533252720677,12.88659793814433,406,235.0
5523.579201934704,13.195876288659795,407,232.0
5529.625151148731,12.88659793814433,408,235.0
5535.671100362757,12.52577319587629,409,238.5
5541.717049576784,12.628865979381445,410,237.5
5547.76299879081,12.680412371134022,411,237.0
5553.808948004837,12.989690721649486,412,234.0
5559.854897218864,13.350515463917526,413,230.5
5565.90084643289,11.958762886597938,414,244.0
5571.946795646916,15.20618556701031,415,212.5
5577.992744860943,15.77319587628866,416,207.0
5584.03869407497,12.52577319587629,417,238.5
5590.084643288997,12.474226804123711,418,239.0
5596.130592503023,11.701030927835053,419,246.5
5602.17654171705,12.628865979381445,420,237.5
5608.222490931076,12.113402061855671,421,242.5
5614.268440145102,11.855670103092784,422,245.0
5620.31438935913,11.391752577319588,423,249.5
5626.360338573156,12.31958762886598,424,240.5
5632.406287787183,11.855670103092784,425,245.0
5638.452237001209,12.31958762886598,426,240.5
5644.498186215236,12.31958762886598,427,240.5
5650.5441354292625,11.804123711340207,428,245.5
5656.590084643289,11.958762886597938,429,244.0
5662.636033857316,12.422680412371134,430,239.5
5668.681983071342,12.216494845360826,431,241.5
5674.727932285369,11.907216494845361,432,244.5
5680.773881499395,11.75257731958763,433,246.0
5686.819830713423,10.515463917525773,434,258.0
5692.865779927449,11.237113402061857,435,251.0
5698.911729141475,12.268041237113403,436,241.0
5704.957678355502,11.391752577319588,437,249.5
5711.003627569528,11.855670103092784,438,245.0
5717.049576783555,11.649484536082475,439,247.0
5723.095525997582,11.804123711340207,440,245.5
5729.141475211609,11.494845360824742,441,248.5
5735.187424425635,11.443298969072165,442,249.0
5741.233373639661,10.97938144329897,443,253.5
5747.279322853688,11.288659793814434,444,250.5
5753.325272067715,11.649484536082475,445,247.0
5759.371221281741,11.804123711340207,446,245.5
5765.417170495768,11.494845360824742,447,248.5
5771.463119709794,10.721649484536083,448,256.0
5777.509068923821,11.391752577319588,449,249.5
5783.555018137848,10.670103092783506,450,256.5
5789.600967351875,10.515463917525773,451,258.0
5795.646916565901,10.103092783505156,452,262.0
5801.692865779927,11.855670103092784,453,245.0
5807.738814993954,10.77319587628866,454,255.5
5813.7847642079805,10.97938144329897,455,253.5
5819.830713422008,11.546391752577321,456,248.0
5825.876662636034,11.443298969072165,457,249.0
5831.922611850061,11.288659793814434,458,250.5
5837.968561064087,11.288659793814434,459,250.5
5844.014510278113,10.567010309278352,460,257.5
5850.060459492141,10.0,461,263.0
5856.106408706167,9.948453608247423,462,263.5
5862.152357920193,10.61855670103093,463,257.0
5868.19830713422,10.61855670103093,464,257.0
5874.244256348247,10.876288659793815,465,254.5
5880.2902055622735,10.154639175257733,466,261.5
5886.3361547763,11.134020618556702,467,252.0
5892.382103990327,10.876288659793815,468,254.5
5898.428053204353,9.742268041237114,469,265.5
5904.474002418379,10.360824742268042,470,259.5
5910.519951632406,10.051546391752579,471,262.5
5916.565900846433,11.030927835051548,472,253.0
5922.61185006046,10.103092783505156,473,262.0
5928.657799274486,10.257731958762887,474,260.5
5934.703748488513,10.103092783505156,475,262.0
5940.749697702539,10.051546391752579,476,262.5
5946.795646916566,9.43298969072165,477,268.5
5952.841596130593,10.051546391752579,478,262.5
5958.887545344619,10.515463917525773,479,258.0
5964.933494558646,10.515463917525773,480,258.0
5970.979443772672,10.051546391752579,481,262.5
5977.025392986699,10.360824742268042,482,259.5
5983.071342200726,9.793814432989691,483,265.0
5989.117291414752,9.742268041237114,484,265.5
5995.163240628779,10.412371134020619,485,259.0
6001.209189842805,10.412371134020619,486,259.0
6007.2551390568315,9.690721649484537,487,266.0
6013.301088270859,9.587628865979383,488,267.0
6019.347037484886,9.536082474226804,489,267.5
