u_g_approx,g_r_approx,pixel_x,pixel_y,class
0.4099865591397851,0.3600943396226415,431,243,QSO
0.43446236559139795,0.3600943396226415,434,243,QSO
0.4589381720430108,0.3600943396226415,437,243,QSO
0.4997311827956987,0.3600943396226415,442,243,QSO
0.5323655913978493,0.3600943396226415,446,243,QSO
0.5568413978494622,0.3600943396226415,449,243,QSO
0.6629032258064513,0.3600943396226415,462,243,QSO
0.9239784946236558,0.3600943396226415,494,243,QSO
1.0055645161290325,0.3600943396226415,504,243,QSO
1.6664112903225807,0.3600943396226415,585,243,QSO
1.6908870967741936,0.3600943396226415,588,243,QSO
1.731680107526882,0.3600943396226415,593,243,QSO
0.010215053763440896,0.35069182389937104,382,244,QSO
0.03469086021505374,0.35069182389937104,385,244,QSO
0.0918010752688172,0.35069182389937104,392,244,QSO
0.11627688172043005,0.35069182389937104,395,244,QSO
0.16522849462365574,0.35069182389937104,401,244,QSO
0.1897043010752686,0.35069182389937104,404,244,QSO
0.21418010752688144,0.35069182389937104,407,244,QSO
0.23865591397849473,0.35069182389937104,410,244,QSO
0.2631317204301076,0.35069182389937104,413,244,QSO
0.2876075268817204,0.35069182389937104,416,244,QSO
0.31208333333333327,0.35069182389937104,419,244,QSO
0.3365591397849461,0.35069182389937104,422,244,QSO
0.3691935483870967,0.35069182389937104,426,244,QSO
0.3936693548387096,0.35069182389937104,429,244,QSO
0.41814516129032286,0.35069182389937104,432,244,QSO
0.4426209677419357,0.35069182389937104,435,244,QSO
0.48341397849462364,0.35069182389937104,440,244,QSO
0.5078897849462365,0.35069182389937104,443,244,QSO
0.5405241935483871,0.35069182389937104,447,244,QSO
0.565,0.35069182389937104,450,244,QSO
0.6629032258064513,0.35069182389937104,462,244,QSO
0.785282258064516,0.35069182389937104,477,244,QSO
0.826075268817204,0.35069182389937104,482,244,QSO
0.9321370967741931,0.35069182389937104,495,244,QSO
1.0137231182795703,0.35069182389937104,505,244,QSO
1.674569892473118,0.35069182389937104,586,244,QSO
1.707204301075269,0.35069182389937104,590,244,QSO
1.731680107526882,0.35069182389937104,593,244,QSO
0.002056451612903132,0.3412893081761006,381,245,QSO
0.02653225806451598,0.3412893081761006,384,245,QSO
0.0918010752688172,0.3412893081761006,392,245,QSO
0.11627688172043005,0.3412893081761006,395,245,QSO
0.16522849462365574,0.3412893081761006,401,245,QSO
0.1897043010752686,0.3412893081761006,404,245,QSO
0.21418010752688144,0.3412893081761006,407,245,QSO
0.23865591397849473,0.3412893081761006,410,245,QSO
0.2631317204301076,0.3412893081761006,413,245,QSO
0.2876075268817204,0.3412893081761006,416,245,QSO
0.31208333333333327,0.3412893081761006,419,245,QSO
0.3365591397849461,0.3412893081761006,422,245,QSO
0.36103494623655896,0.3412893081761006,425,245,QSO
0.38551075268817225,0.3412893081761006,428,245,QSO
0.4099865591397851,0.3412893081761006,431,245,QSO
0.43446236559139795,0.3412893081761006,434,245,QSO
0.4589381720430108,0.3412893081761006,437,245,QSO
0.4997311827956987,0.3412893081761006,442,245,QSO
0.5405241935483871,0.3412893081761006,447,245,QSO
0.6139516129032256,0.3412893081761006,456,245,QSO
0.6465860215053763,0.3412893081761006,460,245,QSO
0.6710618279569891,0.3412893081761006,463,245,QSO
0.7934408602150533,0.3412893081761006,478,245,QSO
0.8179166666666662,0.3412893081761006,481,245,QSO
0.915819892473118,0.3412893081761006,493,245,QSO
0.9974059139784948,0.3412893081761006,503,245,QSO
1.0218817204301076,0.3412893081761006,506,245,QSO
1.6827284946236554,0.3412893081761006,587,245,QSO
1.7235215053763446,0.3412893081761006,592,245,QSO
-0.014260752688172396,0.33188679245283015,379,246,QSO
0.010215053763440896,0.33188679245283015,382,246,QSO
0.042849462365591506,0.33188679245283015,386,246,QSO
0.10811827956989228,0.33188679245283015,394,246,QSO
0.16522849462365574,0.33188679245283015,401,246,QSO
0.1897043010752686,0.33188679245283015,404,246,QSO
0.21418010752688144,0.33188679245283015,407,246,QSO
0.23865591397849473,0.33188679245283015,410,246,QSO
0.2631317204301076,0.33188679245283015,413,246,QSO
0.2876075268817204,0.33188679245283015,416,246,QSO
0.31208333333333327,0.33188679245283015,419,246,QSO
0.3365591397849461,0.33188679245283015,422,246,QSO
0.3691935483870967,0.33188679245283015,426,246,QSO
0.3936693548387096,0.33188679245283015,429,246,QSO
0.43446236559139795,0.33188679245283015,434,246,QSO
0.4589381720430108,0.33188679245283015,437,246,QSO
