wavelength_A,flux,error
7474.456322522816,1.836466308885454e-12,2.7742622364283027e-15
7489.10947901968,1.8456605601485654e-12,2.781824546581389e-15
7503.762712591654,1.8333769832151736e-12,2.7006080629833314e-15
7508.647140375848,1.8135083278830733e-12,2.7549615319339294e-15
7513.531576265994,1.7879247344795846e-12,2.619661782895448e-15
7523.300471906166,1.7834123934579171e-12,2.620865416713496e-15
7528.184931427203,1.803260340528523e-12,2.6373082320438335e-15
7542.838355420137,1.817166317592822e-12,2.763076742843336e-15
7552.607341461925,1.7827350923607654e-12,2.734611353617908e-15
7557.491845153253,1.7447580923438122e-12,2.593181838898384e-15
7567.260873304235,1.726939663319882e-12,2.6899500591662674e-15
7577.029928382911,1.7482465128337843e-12,2.6092538655560606e-15
7581.914465733851,1.7693146210293054e-12,2.7335512918844193e-15
7586.7990094731695,1.7636038029261725e-12,2.7312346567736788e-15
7601.452677876218,1.687967799389456e-12,2.8425955606568593e-15
7611.221819987284,1.6865991025669103e-12,2.723742015080504e-15
7620.990984903354,1.7098322540806676e-12,2.58461388887867e-15
7625.8755756269475,1.7270332299673674e-12,2.7072384251362012e-15
7635.6447730326145,1.744809049845919e-12,2.6248494361809068e-15
7640.529379485625,1.7214795127590277e-12,2.7206869789979946e-15
7645.413990952709,1.7110266111938777e-12,2.7218469906192594e-15
7664.952484671107,1.623765575123337e-12,2.6520726515891864e-15
7679.606401995432,1.670923382296463e-12,2.5967952814513707e-15
7684.49104945181,1.6900334213684753e-12,2.725305002626425e-15
7699.145015262171,1.6841310247414643e-12,2.7295244972531723e-15
7708.914344191323,1.624002364877808e-12,2.739810230089918e-15
7718.68368676251,1.5827856603492507e-12,2.5529875844523256e-15
7723.568362877498,1.5902566806794138e-12,2.56173891710512e-15
7728.453042059349,1.6129011104135116e-12,2.589052765038756e-15
7738.222409165449,1.6658617844542145e-12,2.6398230728642315e-15
7752.87647996232,1.6487517731297863e-12,2.7700630705922895e-15
7767.530572175206,1.5387244430009606e-12,2.561522076670623e-15
7772.415273804031,1.5424942139546927e-12,2.5792394648283413e-15
7777.299977354199,1.5508497264171694e-12,2.5849025153554467e-15
7782.184682711151,1.56888683901929e-12,2.603367410089117e-15
7787.069389760336,1.594221065923107e-12,2.7333740502402063e-15
7791.954098387193,1.6318576264578999e-12,2.779770915200771e-15
7796.838808477168,1.6347960311857701e-12,2.685333094329021e-15
7801.723519915703,1.6314081162371874e-12,2.679567341057061e-15
7806.6082325882435,1.5874566201487528e-12,2.64300177575704e-15
7811.492946380229,1.542708994405062e-12,2.6137806213844244e-15
7831.03181045148,1.5116498547698698e-12,2.6047887313746096e-15
7840.801246225274,1.574731122409856e-12,2.668505937798867e-15
7850.570683269224,1.607952920118505e-12,2.8244089162463622e-15
7855.455401981109,1.597736916728043e-12,2.819280767025448e-15
7860.340120666857,1.5697148442184172e-12,2.686891634951969e-15
7865.224839211909,1.5532226112918712e-12,2.7925085966615812e-15
7874.994275421688,1.4740183899852877e-12,2.724381524955681e-15
7884.763709693974,1.4522876174219435e-12,2.6109940947461946e-15
7894.533141112305,1.4912932000399337e-12,2.6497244645011606e-15
7909.187280883863,1.5458428807846314e-12,2.7162991365729805e-15
7918.956701157774,1.5177894748322207e-12,2.6975511210766906e-15
7923.841409078918,1.5107752288773257e-12,2.8205555516110656e-15
7928.726115370114,1.4938179816390007e-12,2.8147453291093747e-15
7933.6108199168075,1.4732857945773392e-12,2.7959274333949364e-15
7938.495522604439,1.4567900922038413e-12,2.663487479344622e-15
7943.380223318458,1.4402025579063338e-12,2.652820369923375e-15
7953.149618367432,1.4110544330203645e-12,2.748470294942646e-15
7958.034312473281,1.4048449903381055e-12,2.631504574047484e-15
7962.919004147299,1.4078078980350739e-12,2.7694623124744494e-15
7967.803693274935,1.4032753908529982e-12,2.759226131065118e-15
7982.4577442340305,1.4685953191387324e-12,2.834248262719905e-15
7987.342422030624,1.4895417798505006e-12,2.7488387542747017e-15
7992.227096708081,1.4874910114412443e-12,2.8710719613106016e-15
8011.765761935598,1.3802098569951071e-12,2.6673637138694946e-15
8016.650419299167,1.3731886721463082e-12,2.666371626530023e-15
8021.53507285632,1.3903759870856347e-12,2.8073090151071924e-15
8026.4197224925165,1.4045169107607114e-12,2.822951807818848e-15
8031.304368093212,1.433958312334338e-12,2.744083511308816e-15
8036.189009543866,1.4476833360560493e-12,2.755268793135546e-15
8055.727531555254,1.4017050324263702e-12,2.734593142409542e-15
8060.612150537605,1.3721866524984971e-12,2.7038397054353434e-15
8065.496764682684,1.3523357780820255e-12,2.7390394301079167e-15
8070.381373875958,1.3384013949208073e-12,2.699585270699522e-15
8075.265978002895,1.354041119679128e-12,2.8338310989933823e-15
8080.150576948961,1.3709991258589738e-12,2.7319561170865026e-15
8085.035170599626,1.3928574005978023e-12,2.7554917745589106e-15
8089.91975884036,1.416045340880967e-12,2.7839457288395507e-15
8094.804341556636,1.4129562320511213e-12,2.7832346446803307e-15
8099.688918633926,1.3891315398320558e-12,2.7638860828244375e-15
8104.573489957704,1.3683766576441658e-12,2.7478737719895422e-15
8114.342614886631,1.3241593151830378e-12,2.7127765383035867e-15
8124.11171542724,1.3165302181761263e-12,2.715837503616727e-15
8128.996256265625,1.3174804129600926e-12,2.718720380252707e-15
8133.880790663375,1.335636137279883e-12,2.7469839638784516e-15
8138.765318505973,1.3481029443804249e-12,2.7604706342228714e-15
8143.649839678907,1.367036258498322e-12,2.785781037478014e-15
8153.418861557728,1.3776336842130643e-12,2.938303719191254e-15
8168.07234149071,1.3301605910481795e-12,2.7715964119850566e-15
8172.9568202409455,1.310113909719357e-12,2.7582950300978487e-15
8177.841291519962,1.2942170122057228e-12,2.7422244857478297e-15
8182.72575521326,1.2919011563652938e-12,2.743342780996442e-15
8192.494659384702,1.3156430155383814e-12,2.7752117603621748e-15
8207.147955886554,1.2931506993690833e-12,2.7557852714751342e-15
8212.03237166112,1.2726487615480342e-12,2.7407046968822187e-15
8226.685568203835,1.278382673157441e-12,2.876456973272771e-15
8241.338686170937,1.2986663610811688e-12,2.9148718232548847e-15
8246.223040831157,1.2912292762790045e-12,2.7836031040123863e-15
8260.876049222745,1.227899184240433e-12,2.724807370769913e-15
8265.760366442018,1.2263165743292559e-12,2.7213095482142265e-15
8275.528971826892,1.251390375871242e-12,2.8795742662769035e-15
8295.066063177082,1.2716182273830867e-12,2.7929103020368166e-15
8299.9503104679,1.2527087657129843e-12,2.7696132960972975e-15
8314.602989197028,1.1986603116326267e-12,2.7256825675626636e-15
8319.487194010817,1.2001877356532242e-12,2.7308227870030764e-15
