wavelength_A,flux_1e17,ivar,and_mask
3982.904908769739,4.011033058166504,0.42104002833366394,0
3983.8233578448962,5.231334209442139,0.4196512699127197,0
3984.73983117303,4.6514482498168945,0.40467217564582825,0
3985.6587033772407,2.989205837249756,0.42195063829421997,0
3986.575598924202,3.046894073486328,0.432219922542572,0
3987.4927054017794,3.4691414833068848,0.41724082827568054,0
3988.412212412707,4.795870780944824,0.4027601182460785,0
3989.3297414008034,5.303898334503174,0.41582316160202026,0
3990.2496720281756,3.097600221633911,0.42760393023490906,0
3991.167623721442,5.1752471923828125,0.42498454451560974,0
3992.0879781604176,6.625086307525635,0.4346502125263214,0
3993.006352753594,9.131109237670898,0.4108058214187622,0
3993.9249386176384,4.297558307647705,0.4581731855869293,0
3994.845928887339,6.371628761291504,0.4511996805667877,0
3995.764937943456,6.600805282592773,0.4689902663230896,0
3996.6863525129374,5.77454948425293,0.4940342307090759,0
3997.6057849560907,6.2923903465271,0.477523535490036,0
3998.5276240208273,6.265253067016602,0.437491238117218,0
3999.447480046071,7.1331000328063965,0.35730916261672974,0
4000.367547682985,4.514017105102539,0.37828129529953003,0
4001.290023604107,0.8768287897109985,0.49318668246269226,0
4002.2105151157443,6.222529411315918,0.4503494203090668,0
4003.133416021086,6.97572660446167,0.4636729657649994,0
4004.0543316027265,3.248286724090576,0.5074753761291504,0
4004.9776576880777,5.3190741539001465,0.5134317278862,0
4005.8989975350905,4.508927345275879,0.5116499066352844,0
4006.8205493351243,3.817256450653076,0.510750412940979,0
4007.7445133041747,7.591593265533447,0.4645470082759857,0
4008.6664896626858,5.164836406707764,0.45638346672058105,0
4009.5908793014987,3.7544682025909424,0.44914883375167847,0
4010.5132804140812,5.614770889282227,0.43189024925231934,0
4011.4380959187624,4.066132545471191,0.4632321000099182,0
4012.3609219811,3.114238977432251,0.4729683995246887,0
4013.283960338361,4.8601508140563965,0.44134777784347534,0
4014.209414755713,6.451785564422607,0.40028148889541626,0
4015.1328783563076,5.904317378997803,0.398127019405365,0
4016.0587591300714,4.317856311798096,0.4269329905509949,0
4016.9826481699088,4.407742023468018,0.46172192692756653,0
4017.908955496506,5.638516902923584,0.46971768140792847,0
4018.833270171586,3.4179368019104004,0.5130733251571655,0
4019.757797484042,4.553617477416992,0.5023274421691895,0
4020.684744753942,4.315716743469238,0.4924057424068451,0
4021.609697995693,5.523087978363037,0.4837363660335541,0
4022.5370723097603,2.3292417526245117,0.5028042197227478,0
4023.4624516770314,2.8353281021118164,0.48893964290618896,0
4024.3902532320058,3.8104002475738525,0.4520447850227356,0
4025.316058921112,3.1034157276153564,0.436498761177063,0
4026.2420775906007,5.392771244049072,0.4246924817562103,0
4027.170520121172,5.486623287200928,0.468481183052063,0
4028.0969654070227,4.02170467376709,0.5127526521682739,0
4029.025835670627,5.943976402282715,0.47743096947669983,0
4029.952707769382,5.551447868347168,0.4731284976005554,0
4030.882005963077,3.0756618976593018,0.48518866300582886,0
4031.8093050713683,3.578047275543213,0.4973278343677521,0
4032.7390313923,2.678462028503418,0.5351085066795349,0
4033.666757706851,3.6902172565460205,0.5411324501037598,0
4034.594697443621,4.860447406768799,0.5533855557441711,0
4035.5250660698825,3.2806594371795654,0.5787376761436462,0
4036.4534333080496,6.589504718780518,0.5178841948509216,0
4037.384230554696,4.574732303619385,0.5195493102073669,0
4038.3130254912094,6.643950462341309,0.4584137797355652,0
4039.244251555706,6.702779769897461,0.45036324858665466,0
4040.1734743876063,1.5022706985473633,0.4947192668914795,0
4041.1029109859983,2.2077813148498535,0.47148042917251587,0
4042.034780391928,3.724921464920044,0.4598340392112732,0
4042.96464518132,4.764400959014893,0.46019643545150757,0
4043.8969438990434,3.7870442867279053,0.5001085996627808,0
4044.827237076703,0.3667321503162384,0.5129841566085815,0
4045.759965304004,2.644855260848999,0.41737979650497437,0
4046.6906870672897,5.227097511291504,0.2886212468147278,0
4047.6216229418937,3.7974023818969727,0.2677691876888275,0
4048.554995548403,4.19095516204834,0.32623451948165894,0
4049.4863603047233,2.5353870391845703,0.4466802477836609,0
4050.42016291555,4.556087970733643,0.4759189784526825,0
4051.351956751172,4.856480598449707,0.4810372292995453,0
4052.2861895644187,2.013810634613037,0.5273418426513672,0
4053.2184126770194,1.9198447465896606,0.5545281171798706,0
4054.1508502463216,4.544460773468018,0.5764625668525696,0
4055.0857284782264,3.6442933082580566,0.5599877834320068,0
4056.018595621075,2.3438053131103516,0.5963594317436218,0
4056.953904550938,4.635791301727295,0.5749922394752502,0
4057.8872014652375,5.42889404296875,0.5403310656547546,0
4058.822941291481,3.660801649093628,0.514289140701294,0
4059.756668175226,4.5603461265563965,0.48755529522895813,0
4060.6906098616137,4.958765506744385,0.4751085638999939,0
4061.626996147642,5.376075744628906,0.4960249960422516,0
4062.5613681005216,4.7254157066345215,0.5165180563926697,0
4063.4981857792677,2.6013572216033936,0.5285739302635193,0
4064.4329881968633,4.581954002380371,0.4776366055011749,0
4065.37023746707,3.723968029022217,0.42981794476509094,0
4066.305470547696,3.9213507175445557,0.42333680391311646,0
4067.2409187774633,2.8754727840423584,0.45122432708740234,0
4068.1788155502604,6.094555854797363,0.47830766439437866,0
4069.114694740583,6.417468547821045,0.5017048716545105,0
4070.053023601979,2.8757858276367188,0.5460333228111267,0
4070.9893339514015,1.824593186378479,0.5638540983200073,0
4071.928095100459,3.44393253326416,0.5711159706115723,0
4072.864836807615,3.6158947944641113,0.5921498537063599,0
4073.8017940109703,4.589295864105225,0.6129048466682434,0
4074.741203707106,7.243041038513184,0.5638710856437683,0
4075.6785925662,4.891037464141846,0.5458163619041443,0
4076.6184350479375,3.4338467121124268,0.5286232233047485,0
4077.556255761635,3.68916916847229,0.5108943581581116,0
4078.4965312283575,4.587752819061279,0.5222094655036926,0
4079.4347839956135,4.972945213317871,0.5351858735084534,0
4080.3732526066856,3.477318286895752,0.5629668235778809,0
4081.314177666659,1.9965769052505493,0.5467071533203125,0
4082.2530786297752,2.685304641723633,0.5778165459632874,0
