transit_number,depth_ppm,quarter,parity
110,3197.699914030627,4,even
111,3465.5663306887295,4,odd
112,5762.812012679808,4,even
113,2433.0209175862374,4,odd
114,2944.6885559717416,4,even
115,223.53892179838297,4,odd
116,2025.3089792768853,4,even
117,95.07237503392219,4,odd
118,98.75642956647113,4,even
120,5501.897763446006,4,even
121,5959.106757007393,4,odd
122,6010.594390111978,4,even
123,4112.296161857043,4,odd
124,5939.05242789905,4,even
125,55.02313705074702,4,odd
127,5177.849515166533,4,odd
128,2704.8090697142648,4,even
129,5183.108205910725,4,odd
130,5500.471677820862,4,even
131,3604.966200582149,4,odd
132,6041.730592935668,4,even
133,4273.057606015595,4,odd
134,4560.5624101418,4,even
135,4832.677373558969,4,odd
136,5961.572696734918,4,even
137,4592.2333950749735,4,odd
138,2792.8104368553086,4,even
139,764.6195762099906,4,odd
140,5484.844156174673,4,even
141,6256.297059340166,4,odd
142,5973.100222207983,4,even
143,6110.509514248852,4,odd
144,4981.257669666727,4,even
145,6484.886701062287,4,odd
147,5518.444343082907,5,odd
148,611.5135954193329,5,even
149,5505.848706211625,5,odd
150,5699.571431167949,5,even
152,4279.344753621573,5,even
153,2964.8543303920637,5,odd
154,3707.996905804034,5,even
155,6721.891875637431,5,odd
156,5356.28695508017,5,even
157,5099.372560396054,5,odd
158,6299.1298458280335,5,even
159,5521.524632003283,5,odd
160,5961.213001917876,5,even
161,6531.859397802986,5,odd
162,2994.6507885600936,5,even
163,4792.868563888941,5,odd
164,5014.222395396173,5,even
165,6157.2840659520625,5,odd
166,6167.592359565988,5,even
167,6350.549322257093,5,odd
168,6339.509078800765,5,even
169,6539.636364878532,5,odd
170,4272.421728028775,5,even
171,4265.254719155287,5,odd
172,4698.416536308425,5,even
173,6383.0600944239095,5,odd
174,6368.512591306441,5,even
175,5445.6763295838155,5,odd
176,5638.453619327466,5,even
177,5792.498563243597,5,odd
178,5548.05781379053,5,even
179,6521.2156271778895,5,odd
180,6170.123686104256,5,even
181,4460.898812447933,5,odd
182,6056.213991879944,5,even
183,6392.514446555087,5,odd
184,5292.6378167008625,5,even
185,6255.029867823114,5,odd
186,5788.198357919106,5,even
187,5888.71946960956,5,odd
188,6427.770030630886,5,even
190,6401.364061032311,6,even
191,5780.645261729944,6,odd
192,6052.844472632102,6,even
193,6134.029894114045,6,odd
194,5421.3313569903,6,even
195,5671.9419352134755,6,odd
196,5959.435628139942,6,even
197,6426.17578535043,6,odd
198,6393.701616757452,6,even
199,6177.1767529468225,6,odd
200,6495.776320845747,6,even
201,6389.99202071977,6,odd
203,6214.515965523581,6,odd
204,5550.285429089641,6,even
205,6208.495473593367,6,odd
206,6321.5773396952945,6,even
207,6478.870293001648,6,odd
208,6473.21467937012,6,even
209,6064.733423867819,6,odd
210,5925.501946351997,6,even
211,6363.082246183427,6,odd
212,6166.139184408225,6,even
213,6373.329245074721,6,odd
214,5483.208635161385,6,even
215,6157.199666087743,6,odd
216,5993.8862208515075,6,even
217,5977.162632156752,6,odd
218,6517.425766574325,6,even
219,6490.455178988385,6,odd
220,6533.297972571961,6,even
221,6392.181290512333,6,odd
222,6147.317545495356,6,even
223,6122.597040751687,6,odd
224,6190.190745603896,6,even
225,6316.225791313079,6,odd
226,6342.010524427955,6,even
227,6317.898150182577,6,odd
228,6419.364723772914,6,even
229,6505.354376189265,6,odd
230,4561.495645876823,6,even
234,6343.302154212193,7,even
235,5709.026568010422,7,odd
236,5416.36570013393,7,even
237,6253.254990986168,7,odd
239,6448.7972466872325,7,odd
240,6461.544064535363,7,even
241,6336.26105482954,7,odd
242,4222.353062574569,7,even
243,6602.183954791396,7,odd
244,6223.421367308468,7,even
247,6234.65070684126,7,odd
248,6464.6093707322325,7,even
249,6223.482066441077,7,odd
250,6524.792560714476,7,even
251,6385.700498339975,7,odd
252,4175.250535669806,7,even
253,6318.294111577138,7,odd
254,4950.985450417833,7,even
255,6177.593522188607,7,odd
256,6194.7106775843695,7,even
257,6090.915160822386,7,odd
258,6341.1776845707645,7,even
259,6397.202983969286,7,odd
260,6376.990172810349,7,even
261,5982.6582578133,7,odd
262,6178.807504840789,7,even
263,6047.606329705579,7,odd
264,6216.9265601194065,7,even
265,6253.558486649325,7,odd
266,6211.493987751115,7,even
267,5898.711357414599,7,odd
268,6332.558407740163,7,even
269,6275.744019617946,7,odd
270,6117.774527002129,7,even
271,6365.214541084074,7,odd
279,6404.486056223902,8,odd
280,6121.167557811891,8,even
281,6376.256205842145,8,odd
282,6470.845704517725,8,even
283,6279.86671670644,8,odd
284,6187.917204038551,8,even
285,6179.5772482404755,8,odd
286,6302.126598728974,8,even
287,6429.775922187519,8,odd
288,6344.546373904247,8,even
289,6557.245246600174,8,odd
290,6166.407318041079,8,even
292,6510.565494002863,8,even
293,6215.127059826408,8,odd
294,6464.365738861666,8,even
295,6179.607248081309,8,odd
296,6164.157329966224,8,even
297,5949.14846951311,8,odd
298,6343.346380264125,8,even
299,6423.625954782408,8,odd
300,6392.396120300626,8,even
301,6339.56640029798,8,odd
302,6402.236068148825,8,even
303,6157.227366694995,8,odd
304,6303.62659077921,8,even
305,6242.396915296488,8,odd
306,6158.727358744898,8,even
307,6139.497460663446,8,odd
308,6239.936928334355,8,even
312,6583.135631962223,9,even
313,6382.469868440044,9,odd
314,5384.895459322414,9,even
315,6402.256417427088,9,odd
316,6392.440073528461,9,even
317,6343.758393128062,9,odd
318,6223.37739835721,9,even
319,6470.601557862721,9,odd
320,6107.427605848481,9,even
321,6289.291531997088,9,odd
322,6416.657824776961,9,even
323,6577.10427332836,9,odd
324,5807.121335918763,9,even
325,6160.786666413842,9,odd
326,6355.821110395344,9,even
327,6167.402697568325,9,odd
328,6156.75550324557,9,even
329,6279.721366001745,9,odd
330,6560.394948133874,9,even
331,6303.231355777816,9,odd
332,6413.057472939076,9,even
333,6324.8026945649235,9,odd
334,6233.593781349245,9,even
335,6299.292509323484,9,odd
336,6113.089697627139,9,even
337,6522.91436233865,9,odd
338,6487.372427533167,9,even
339,6331.203320053324,9,odd
340,6298.923242468169,9,even
341,6195.159256178417,9,odd
342,6153.6475072149215,9,even
343,6325.602772750849,9,odd
344,6230.547329794334,9,even
345,6260.51948953521,9,odd
346,6299.784865130165,9,even
347,6320.032997686131,9,odd
348,6440.937120501311,9,even
349,6070.685553763444,9,odd
350,6438.352252515656,9,even
351,6277.690398298619,9,odd
352,6332.680387474144,9,even
353,6368.499272421224,9,odd
354,6296.615324623777,9,even
355,6436.567462715814,9,odd
357,6220.671804375688,10,odd
358,6359.269701492032,10,even
359,6267.167187320233,10,odd
360,6129.82509435489,10,even
361,6258.529705113092,10,odd
362,6295.0399135908165,10,even
363,6177.086211536786,10,odd
364,5616.75252538385,10,even
365,6226.093202782446,10,odd
366,6385.1208893739295,10,even
367,6457.038649026803,10,odd
368,6128.385513986534,10,even
369,6218.925930312813,10,odd
371,5798.017134252987,10,odd
372,6181.986910661519,10,even
373,6166.549708419233,10,odd
374,6335.746345694227,10,even
375,6182.415721834977,10,odd
376,6129.641318137536,10,even
377,6371.827742998826,10,odd
378,6337.614737235597,10,even
379,6210.135301258024,10,odd
380,6233.811803903477,10,even
381,6143.638940011909,10,odd
382,6152.460198435961,10,even
383,6017.905378097766,10,odd
384,6254.45599896568,10,even
385,6219.3547414861605,10,odd
386,6229.58495090864,10,even
387,6178.066351361755,10,odd
388,6230.840755059308,10,even
389,6275.192082136227,10,odd
390,6288.485228511998,10,even
391,6160.423834513651,10,odd
392,6112.764535527448,10,even
393,6156.503275213776,10,odd
394,6106.975584686203,10,even
395,6191.0225746723,10,odd
396,6240.3664889827405,10,even
397,6010.0336301288635,10,odd
398,6130.253905527905,10,even
401,6236.662167350082,11,odd
403,6049.856629125605,11,odd
406,6210.57132326186,11,even
407,5874.793503692577,11,odd
409,5655.9186083395825,11,odd
410,6373.340173160713,11,even
412,6177.91944435031,11,even
413,6362.394895441325,11,odd
416,5945.646547979022,11,even
418,6277.285396982135,11,even
419,5994.302446413524,11,odd
420,5443.574088768833,11,even
421,6212.594819983264,11,odd
422,5502.439447933716,11,even
423,6229.917178279143,11,odd
424,3919.513149141851,11,even
425,6328.271382550543,11,odd
426,6320.361349912318,11,even
427,6548.0047310578775,11,odd
428,6040.352326343701,11,even
429,6244.725495194059,11,odd
430,6304.296012307198,11,even
432,6324.3470252728475,11,even
433,6318.123239902773,11,odd
434,6253.187390574122,11,even
435,6473.472601823738,11,odd
436,6142.53891076888,11,even
437,6074.99704293546,11,odd
438,6039.463214147944,11,even
439,6081.650054882814,11,odd
440,6444.775739230968,11,even
443,6275.691126838012,11,odd
444,6302.450980718133,12,even
445,6288.264718911973,12,odd
446,5974.9872913476,12,even
447,5835.000042649363,12,odd
448,6204.145328542631,12,even
449,5644.619804251239,12,odd
450,6224.9861268038885,12,even
451,6291.259260316817,12,odd
453,6205.990450014243,12,odd
454,6260.527401052096,12,even
455,6207.018878375381,12,odd
456,6255.869225533672,12,even
457,4185.34045546215,12,odd
458,6067.757579108824,12,even
459,5703.179725055185,12,odd
460,5889.053027399837,12,even
461,6262.463266202833,12,odd
462,6081.9135930220145,12,even
463,6240.65453536593,12,odd
464,6206.897886803397,12,even
465,6209.680692957464,12,odd
466,6090.564490413452,12,even
467,6393.648378044459,12,odd
468,6099.245635697636,12,even
469,6297.8533009858675,12,odd
470,5795.2543112778085,12,even
471,5591.746487327298,12,odd
474,6018.090538840282,12,even
475,5999.9720509468225,12,odd
476,6092.6213471359515,12,even
477,6084.787142854875,12,odd
