wavelength_A,flux,error
4737.259630601487,1.857418951243671e-15,4.472662517642012e-17
4740.0072349123675,1.8021585217648005e-15,4.4035399969346306e-17
4742.754822138272,1.82082416330697e-15,4.4240487821700254e-17
4745.502392215217,1.8200453165119696e-15,4.4124742092946934e-17
4748.249945079221,1.8248033123349338e-15,4.4202116567445144e-17
4750.997480666308,1.8751420568737832e-15,4.4745891867247704e-17
4759.239983126364,1.9492188997594345e-15,4.561052390921468e-17
4833.415197358877,1.6740432003058115e-15,4.2504043810049337e-17
4836.162165651928,1.67853109849772e-15,4.231330588696196e-17
4841.656044208355,1.6530795583777412e-15,4.215420927666596e-17
4844.402954344065,1.6477901552594933e-15,4.196362024608884e-17
4847.149844966334,1.6733830440025452e-15,4.217496820131859e-17
4849.8967160113425,1.6839632266675802e-15,4.502615058494802e-17
4855.3903991143125,1.8024439718680252e-15,4.35564160725638e-17
4858.137211044653,1.9292306162701275e-15,4.478058051341573e-17
4860.884003142491,2.1084685053815314e-15,4.6439348956825465e-17
4866.377527585469,2.43925054139386e-15,4.9414393365378585e-17
4869.124259803027,2.960579626912858e-15,5.372085114428481e-17
4871.870971932913,3.3508595864809336e-15,5.68257728351761e-17
4885.604229035161,3.694279989341007e-15,5.918399196967088e-17
4891.097389030428,2.7955130225254922e-15,5.227334132059866e-17
4896.590466634587,2.4154258339282014e-15,4.892153268663989e-17
4899.336974380646,2.408410918817278e-15,4.886694869237874e-17
4902.083461337716,2.30007095794048e-15,4.7861801825396154e-17
4907.576372629976,2.01264980904752e-15,4.513532188219277e-17
4918.561942942912,1.9719784632939207e-15,4.4708490068670506e-17
4921.308282592941,2.0046671587943586e-15,4.5035871611506743e-17
4924.054600944296,1.920133694174853e-15,4.430761849149261e-17
4926.800897933285,1.767930661520083e-15,4.264134586556579e-17
4935.039660089262,1.7212050418968653e-15,4.2112813850091356e-17
4937.785870992009,1.838973114751314e-15,4.340353655175175e-17
4940.532060214027,1.732315573066e-15,4.2301056996451274e-17
4943.278227691654,1.803052141524154e-15,4.2982624042692917e-17
4946.024373361237,1.953524368230328e-15,4.451484046982694e-17
4951.516599021687,2.3322298343324104e-15,4.789235787722386e-17
4957.008736686251,2.5496515451895645e-15,4.9776622373060456e-17
4959.754772360995,2.8156080321661532e-15,5.1954129013492e-17
4962.500785845885,3.4991977136765006e-15,5.721397862281459e-17
4967.99274599163,7.3024480681653e-15,8.068479837008822e-17
4973.484616614606,8.614778236203015e-15,8.722593089592075e-17
4976.230518196057,9.850113956368263e-15,9.315376524582686e-17
4978.976397206023,1.1024758071796845e-14,9.834534267611178e-17
4981.722253580919,1.0902441432015641e-14,9.777247047108205e-17
4992.705451458272,4.838361461966759e-15,6.623168328518598e-17
4998.1969129336785,4.8096254457146836e-15,6.60494851747426e-17
5000.942609083119,4.596748701894259e-15,6.458399906198446e-17
5011.92516160984,8.622358334047994e-15,8.685783552333465e-17
5014.67074140611,1.4356254696861782e-14,1.1148102374301306e-16
5020.16183055152,2.189145301937246e-14,1.3705183668987712e-16
5022.907339773643,2.4429610962742494e-14,1.447043029122869e-16
5028.398287199227,2.958427909116948e-14,1.590882061409756e-16
5033.889139509986,1.9469894243389664e-14,1.2917045981347187e-16
5036.634529838602,1.3015491326850634e-14,1.0608267101192459e-16
5039.3798961980765,9.706431757525516e-15,9.190507986289642e-17
5042.125238524942,8.305750970891493e-15,8.524759942082463e-17
5044.870556755737,7.182442134264205e-15,7.939892294681739e-17
5047.615850827007,5.624566008663413e-15,7.074650786039431e-17
5050.3611206753,4.1319330193413575e-15,6.105693401728285e-17
5053.106366237173,3.1472525594770234e-15,5.3973061821774675e-17
5055.851587449186,2.2592371936192446e-15,4.658055861355562e-17
5061.341956569905,1.7711033293031425e-15,4.189370363199341e-17
5069.577326041385,1.6486267061740253e-15,4.06401378834489e-17
5072.322399822338,1.5714026064937324e-15,3.988084232940687e-17
5075.067448809517,1.5794515370750163e-15,3.979044472334463e-17
5077.8124729395295,1.5980686859809554e-15,4.0005829319963635e-17
5086.0473955527195,1.4654278792430235e-15,3.855224137313645e-17
5088.792319620246,1.4831661255870678e-15,3.8753368684717494e-17
5091.537218513728,1.4530826916741473e-15,3.8490709061729856e-17
5097.026940525119,1.3905540842331244e-15,3.7851123085936504e-17
