source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
69822875311156224,56.42695832729181,25.056913160793457,6.106456748286809,0.014130936,15.237306856938227,0.0151716145,-38.46025054348271,0.011390645,13.027423,1.4099417,0.9665537
64912009705490304,56.849467055307045,23.149004829363463,7.346863076857361,0.051714923,19.44531824588345,0.06531846,-45.5403292607655,0.045195494,15.890427,2.8284597,1.099646
64933759417767424,57.18418961094356,23.260465412980825,7.471546737251657,0.16829574,17.13655076339148,0.22963034,-42.40674599011606,0.1681986,17.388992,0.9155865,1.0067897
64933759417769984,57.18299036630866,23.2596150203104,7.318904571155356,0.031011451,19.293731697883047,0.03854353,-44.88499205938077,0.023564722,8.33693,0.38464737,1.3925788
64982344089813248,56.46988426929079,23.46487435939193,7.216786495064386,0.058647167,20.00364146712356,0.07758923,-46.246385433920125,0.050357424,16.27454,2.936716,1.0719284
65010239900405504,56.77834370556732,23.71495241087836,7.3503939491290735,0.015928173,19.425567035566697,0.017522084,-44.40913844613404,0.012399845,11.99486,1.215661,1.1385349
65020414679879296,56.96895425474899,23.94102406851244,7.376293478669214,0.020493563,19.684597110725647,0.025270917,-46.393807800230576,0.017065316,9.761056,0.7080078,1.3117672
65136791113382912,55.70385233585675,23.580003136612984,7.410691983881695,0.09458024,21.67933864275433,0.102118306,-46.49129154083005,0.070989124,16.743004,3.077446,1.0497593
65165653294149760,56.30591985851103,23.51671671299534,7.172780984631883,0.056789428,20.675289820301945,0.067311436,-44.85616584762688,0.04661371,16.157358,3.2043476,1.0579132
65181076519660800,56.052496404646654,23.61291770792344,3.887038342498453,0.25204417,25.772947938090184,0.35120162,-40.12720235544124,0.21808468,18.963987,3.1953945,0.9059543
65200283613608704,56.61546284551448,23.812491723079685,7.3976813023598815,0.10949784,19.371365646455065,0.10971089,-43.87192840251005,0.08346944,17.136478,3.3704548,0.8381101
65221586651685248,56.49050612273433,24.051232484000156,7.147155067867327,0.19160649,18.21744136298265,0.19834158,-44.80112017638531,0.13910739,18.095722,3.0859604,1.0574329
65226092073881856,56.724915748846826,24.132370680376567,7.117155933037084,0.110612564,19.309047531519298,0.1350046,-44.32380590885371,0.09332753,17.303078,2.826087,0.9730997
65241863193865856,56.05066499276738,23.876887924642983,7.423976552521405,0.06346344,19.99343255069661,0.07469429,-45.11111429836059,0.057549708,16.52288,2.9920635,1.0594523
65247704349267584,56.05452292932521,24.030615863047565,7.594803806906587,0.019991616,21.404856037527303,0.022041071,-45.88621865204381,0.015385619,11.167223,1.0097103,0.95421356
65249250535404928,56.06105910286945,24.10191467207473,7.1375867450273605,0.017789356,20.708631306878623,0.019033784,-43.43679844036549,0.014365265,10.878019,1.2813435,1.1756079
65257187636977536,55.6716335456923,24.02839578955625,7.165841660739484,0.09170266,21.0177193533052,0.11441664,-44.67677495515933,0.08028251,17.168375,3.255332,1.1185441
65277288083965440,56.362565200348286,24.22385583518501,4.285596962274736,0.10809243,27.440481149623007,0.11578948,-51.535370582882734,0.08786454,17.150494,2.7298346,1.009561
65283094877491200,56.48651262988783,24.368679378469437,7.309588337637114,0.14476661,20.47253405385219,0.20200992,-44.49840350420613,0.12024269,17.706953,2.6659107,0.9898644
65290718444385536,55.96994147372375,24.313336030713643,6.881415962957632,0.2801022,18.989503852792005,0.31658053,-45.30534087165915,0.19317004,18.873793,3.5999393,0.98424387
66517468482370176,57.07512164513408,23.89127367845793,7.295109846533388,0.02168634,19.104444028563226,0.02612894,-45.3486188239001,0.018848723,13.975899,1.9212399,1.109031
66555573432261376,57.55368104569376,24.3516155481885,7.243086363411307,0.02929124,17.833343166460896,0.031035457,-44.351060633719605,0.026031284,14.462538,2.2067528,1.071376
66558249192653952,57.48590927641627,24.348794070150262,7.315576014582632,0.031920027,19.505374073802887,0.034020554,-44.59959947139736,0.02340281,7.546007,0.08989811,0.8341919
66639720430624640,58.009555879988575,24.36313812012763,6.613685161635862,0.022835111,25.05697446311024,0.028319469,-46.82158724085947,0.018585984,14.482751,1.9876308,1.030627
66710845088732160,56.94337881610533,24.050481718343995,7.555830848391911,0.02870886,20.17273269375809,0.03497097,-46.51394500518607,0.022096828,14.752962,2.309679,1.0793425
66728265476081408,56.73055847874693,24.187798191519004,7.225399757694413,0.14798135,20.39259051535456,0.17107093,-44.02063830180597,0.1155257,17.19236,3.5798693,1.0476388
66729261908482048,56.791988143840086,24.276453622807093,7.357064223916837,0.02060636,19.959460137901697,0.025991986,-44.498036812412536,0.017977556,9.376594,0.6450882,1.0107602
66732423004453376,56.72344711251792,24.28729417689776,7.368695724018906,0.03657004,19.249077626062416,0.065386504,-47.50404014517325,0.03363414,14.973033,2.7211971,1.0109967
66800592725851776,56.54907922003248,24.622119094596144,7.550076412992421,0.02076642,21.19521619118576,0.027433112,-44.69592411866067,0.018441977,11.405896,1.0540123,1.2001574
66801623517295104,56.53633699233952,24.675721556933823,7.373604115597466,0.08579178,20.873189844183816,0.10285207,-45.69153438245064,0.0658847,16.6805,2.9957476,0.99294305
66803616382830592,56.35297311857009,24.64608583132924,7.2974380334372,0.20472327,18.794078206161423,0.27859882,-45.50281705739549,0.17286015,18.067305,3.1999474,0.9641204
66951466337428480,57.21790500711882,25.375515207081115,6.659725300304907,0.07898875,17.51634670364892,0.10728352,-40.92145648568612,0.057786826,17.001446,3.1802025,1.0323986
68268303308484224,55.75532685027968,24.24773108224273,7.468803484431587,0.10686129,19.28171935053928,0.11238578,-45.75332459094989,0.08737816,17.534178,3.2893753,1.0231262
68319529381881344,55.874637647335454,24.656396620900924,7.578873356565054,0.12604854,20.777348312640164,0.14881586,-48.2465613696604,0.101354726,17.55076,3.248804,1.0597987
68323485048225152,55.96738194580432,24.841417159243488,7.374984049012138,0.020608423,21.07795817540528,0.030238,-44.25781713802527,0.017782511,13.734854,1.8592358,1.1107836
68363411064150272,55.58985581891144,24.664471459088475,7.367549758589729,0.01871885,20.382744156700035,0.022074126,-45.1690359507745,0.015126495,13.830462,1.9059258,1.1203123
69859124835119360,56.46653993674255,25.16698929532755,7.368127350969552,0.076481946,18.782484712686717,0.083846875,-45.49913875760345,0.05560042,16.831028,3.124382,0.92855597
69918086146123520,56.27224584037732,25.486232262260643,7.307102820399967,0.032731805,20.48440956570171,0.034423422,-46.50619197847436,0.02651374,15.064909,2.4520407,0.9624008
64168705486089216,57.6160313902337,23.06512486371312,7.249398579166355,0.07077046,18.265411612126584,0.080318026,-44.09683354582957,0.052526597,16.96899,3.0461369,1.0051093
64870296982175488,56.03679639519022,23.079705895594124,7.34148627265026,0.029887352,21.63438626120532,0.028862135,-45.152473501335294,0.022137877,14.497981,2.2232628,1.1346939
64930495244783616,57.38645295572227,23.380204240051093,7.231276897025075,0.020891242,20.34647137610763,0.023624873,-44.301346464210745,0.015800737,9.034874,0.587265,1.1984136
