id,ra_dr3,dec_dr3,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec_dr3,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w,id_msa,ra_dr4,dec_dr4,z_spec_dr4,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3
38201,3.567071,-30.37786,8626.152,8053.421,1,1,0,0,0,26,10.37723,33.208,9.883532,10.10375,10.32667,10.44021,10.53733,,3.874599,3.440958,3.999027,0.8960984,0.2384,0.32,0.4893762,0.1476974,0.5267411,-0.06831531,0.2969406,0.1716367,4.843459,0.2431017,0.3402933,4.972129,0.282158,0.1533408,4.782687,0.1878989,0.2316716,3.994011,0.1359693,0.3345701,4.905327,0.2457224,0.1014693,26185,3.567070796096838,-30.3778606473943,10.060783,10.047732562053309,10.059796990913435,10.07178023846888,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,"1,4",38201.0,0.0021024061390665
39368,3.625079,-30.37526,4122.144,8287.0,1,1,0,0,0,26,6.872276,16.38383,6.740365,6.800766,6.869721,6.944921,7.155075,,1.383926,1.369683,1.394555,0.111531,0.0496,0.32,-0.03023323,0.216005,0.2593362,0.7476673,0.2033453,0.3854148,0.8593016,0.1680627,0.749781,0.545796,0.167777,0.4566939,0.4598046,0.1313541,0.4992076,1.019546,0.1198674,0.4533293,0.602779,0.1870692,0.1843603,27335,3.625080666905728,-30.37526088785461,6.753977,6.743267390705045,6.751665055450042,6.760061435063911,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",39368.0,0.0054018129751098
39640,3.622081,-30.37496,4354.881,8314.107,1,1,0,0,0,26,6.196789,21.37133,6.142452,6.168847,6.195394,6.225475,6.260814,,1.407021,1.394244,1.424012,0.1508089,0.0864,0.32,1.427905,0.2543502,0.2981329,1.974578,0.2363694,0.4546715,1.512581,0.1962614,0.8763761,1.580343,0.2009229,0.5075916,1.547526,0.1693218,0.4788794,2.403238,0.1540933,0.4372523,1.644828,0.2395955,0.1791421,27506,3.622081372730471,-30.37496034289143,6.132101,6.130065813253892,6.1377972676235935,6.145528721993295,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",39640.0,0.0022374493171766
40540,3.605813,-30.37391,5618.044,8408.894,1,1,0,0,0,26,6.484908,20.49248,6.363946,6.430118,6.477929,6.512826,6.536638,,1.596723,1.578963,1.612709,0.1619792,0.2896,0.48,2.674739,0.2864131,0.4904969,6.944213,0.3308837,0.5001414,6.94787,0.2781847,0.9672354,6.074124,0.2708213,0.6146807,6.492607,0.2568949,0.4488795,12.13306,0.2078829,0.5049493,6.89154,0.352113,0.1600486,28308,3.605812329200131,-30.37391080590589,6.363283,6.359945036558458,6.367925759416289,6.375906482274119,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,40540.0,0.0025393413697479
41096,3.569595,-30.37322,8430.274,8470.988,1,1,0,0,0,26,7.187307,31.33539,7.0105,7.094564,7.149757,7.195079,7.213394,,2.697208,2.601603,2.722917,0.08852813,0.0928,0.32,0.1945119,0.1487789,0.540755,1.529694,0.253014,0.2462636,1.250845,0.2088937,0.4800856,0.9750744,0.201557,0.3130305,1.025742,0.1753792,0.2770161,4.114779,0.1294035,0.3847835,7.284681,0.2310878,0.1195116,28876,3.569597426299371,-30.37322304257577,7.042225,7.031051492107511,7.039759926191883,7.048468360276256,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,"1,4",41096.0,0.009975950255621
42549,3.604635,-30.37115,5709.449,8657.146,1,1,0,0,0,26,6.541722,11.14125,6.428095,6.492102,6.534997,6.566789,6.588803,,1.584353,1.569973,1.602152,0.2042832,0.464,0.7,2.702375,0.4347428,0.5180604,8.103071,0.6441511,0.3268784,8.427035,0.5424193,0.6191866,8.256452,0.5481611,0.3901833,9.934727,0.4509265,0.3839578,16.21694,0.3496615,0.4819285,12.4579,0.6178235,0.1371257,30390,3.604634245985477,-30.37115252344006,6.372124,6.359945036558463,6.367925759416298,6.375906482274128,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,42549.0,0.0038284100763569
44489,3.537529,-30.37017,10920.23,8745.108,1,1,0,0,0,22,6.973778,67.37128,6.872885,6.949005,7.04914,7.196979,7.287941,,23.2309,13.05512,31.00701,0.6629935,0.2816,0.48,0.2385346,0.2251815,0.5744655,2.050997,0.2957337,0.453262,2.492854,0.2835541,0.6739601,2.58703,0.3253209,0.3083888,2.248193,0.2090547,0.4907138,3.828987,0.1386819,0.8213972,4.825113,0.2716851,0.1946219,32265,3.537530019411128,-30.37016699117356,0.0,,,,3,1,1,0.0,0.0,0.0,0.0,0.0,fixed,fixed,14.094689999999998,"3,5,6,7",44489.0,0.002618221364902
45661,3.546419,-30.36625,10230.05,9098.307,1,1,0,0,0,22,7.322804,214.6428,7.310288,7.321742,7.329748,7.337699,7.345711,,2.198032,2.209954,2.289261,0.10385,0.0864,0.32,0.6890887,0.1563586,0.5146038,4.405559,0.2283188,0.3178626,2.119676,0.1872641,0.6279051,1.145861,0.1798194,0.4133738,0.9113659,0.1382863,0.468313,2.237503,0.104766,0.6170229,5.997989,0.1798652,0.2073497,33437,3.546419625357212,-30.36624398147922,0.0,,,,3,1,0,0.0,0.0,0.0,0.0,0.0,fixed,fixed,14.094689999999998,"3,5,6,7",45661.0,0.006546878450919
45905,3.600112,-30.36581,6060.61,9137.735,1,1,0,0,0,26,6.803811,20.25929,6.73429,6.772008,6.81799,6.875706,6.933185,,1.595717,1.589134,1.614137,0.1562937,0.088,0.32,0.4382161,0.2140937,0.551253,0.9733043,0.3669393,0.247159,1.181282,0.3096644,0.4611716,0.9950284,0.3054511,0.2877231,1.321892,0.2665151,0.2532172,2.96279,0.1847686,0.3984081,2.213613,0.3851412,0.09082386,33673,3.600113527958513,-30.36581355252957,6.774164,6.767876752840828,6.776299814596082,6.784722876351335,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",45905.0,0.0037358526793216
46529,3.60718,-30.36482,5511.795,9227.473,1,1,0,0,0,26,6.29268,35.04008,6.262978,6.281521,6.311917,6.369798,6.440833,,1.501748,1.493509,1.517177,0.3584222,0.1568,0.32,1.91189,0.1394947,0.590511,3.609217,0.2447933,0.2525516,2.950311,0.2147577,0.4360454,2.585564,0.2035294,0.2947052,2.473447,0.186857,0.2342622,4.705281,0.1268148,0.3846176,2.77574,0.2687576,0.08482086,34265,3.607180703847201,-30.36481663770747,6.351511,6.348277006459394,6.3562450771419625,6.364213147824531,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,46529.0,0.0052235214753437
47443,3.59193,-30.36307,6696.016,9385.02,1,1,0,0,0,26,6.250205,21.28173,6.072239,6.139458,6.22996,6.308795,6.406144,,1.810592,1.795217,1.829994,0.4271661,0.072,0.32,2.803528,0.4012365,0.4188362,4.605958,0.6579023,0.2051769,2.851859,0.5474251,0.3938056,1.917167,0.530522,0.254529,3.557905,0.4963182,0.194851,4.248081,0.3895495,0.2391914,2.882101,0.7048049,0.07237497,35123,3.591928729950257,-30.36306885803072,6.254383,6.244093628094552,6.251948728006631,6.25980382791768,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,47443.0,0.0092308311089422
49139,3.600332,-30.36068,6043.506,9599.413,1,1,0,0,0,26,6.296534,21.83926,6.25996,6.286074,6.332804,6.407024,6.493946,,1.536016,1.532347,1.556219,0.4925014,0.0832,0.32,1.298645,0.1537692,0.4859644,2.099767,0.2866814,0.1841409,1.766627,0.2414894,0.3448525,1.438593,0.2392754,0.213229,1.658498,0.2072827,0.1903684,2.470518,0.1463321,0.2888614,1.443991,0.2980973,0.06894586,36755,3.600330212871877,-30.36068623407005,6.252933,6.244093628094072,6.25194872800512,6.259803827916167,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.176913333333331,"3,4,6",49139.0,0.0105316105467434
49245,3.58283,-30.3603,7402.695,9634.309,1,1,0,0,0,26,6.746614,18.28608,6.702955,6.726073,6.750445,6.780473,6.820047,,2.98647,2.786235,3.230231,0.1837369,0.2256,0.48,2.268061,0.4503223,0.2541913,5.119899,0.6790227,0.152146,4.765103,0.5674785,0.2977732,5.232967,0.5512527,0.1900637,5.630999,0.4174021,0.2178297,9.240572,0.293838,0.3237836,6.506496,0.5343114,0.08904565,36857,3.582829450604097,-30.36029629501599,6.764063,6.755562011452439,6.763971719773991,6.772381428095543,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,49245.0,0.0009026772585117
