id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3,mu,mu_low_68,mu_high_68,mu_low_95,mu_high_95,mu_rad,mu_rad_low_68,mu_rad_high_68,mu_rad_low_95,mu_rad_high_95,mu_t,mu_t_low_68,mu_t_high_68,mu_t_low_95,mu_t_high_95,gamma1,gamma1_low_68,gamma1_high_68,gamma1_low_95,gamma1_high_95,gamma2,gamma2_low_68,gamma2_high_68,gamma2_low_95,gamma2_high_95,theta,theta_low_68,theta_high_68,theta_low_95,theta_high_95
27506,3.622081372730471,-30.37496034289143,6.132101,6.130065813253892,6.1377972676235935,6.145528721993295,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",39640.0,0.0022374493171766,1.4878033,1.4734879,1.487639,1.4674285,1.4944278,1.0629562,1.0583764,1.0628992,1.0571504,1.0646375,1.3996845,1.3874334,1.4015071,1.3846068,1.4073684,-0.0902672,-0.091421,-0.0868384,-0.0931199,-0.0858869,0.0682471,0.0680099,0.070591,0.0669282,0.0716766,71.454327,70.720405,71.424311,70.484401,71.896284
28308,3.605812329200131,-30.37391080590589,6.363283,6.359945036558458,6.367925759416289,6.375906482274119,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,40540.0,0.0025393413697479,1.7219904,1.696704,1.7207186,1.6920071,1.7268435,1.2058382,1.1981912,1.2047159,1.1959142,1.2085255,1.4280443,1.416039,1.4304873,1.4116826,1.434178,-0.0292519,-0.0317428,-0.026236,-0.0328918,-0.0248014,0.0575081,0.0567665,0.0595907,0.0551678,0.0607179,58.480233,56.99976,59.423402,56.548943,60.100376
28876,3.569597426299371,-30.37322304257577,7.042225,7.031051492107511,7.039759926191883,7.048468360276256,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,"1,4",41096.0,0.009975950255621,3.1073255,3.0394506,3.1045319,3.0101812,3.1695915,1.521812,1.5000346,1.527424,1.4886085,1.5366958,2.0418594,1.9998807,2.05597,1.981914,2.0819326,-0.0501308,-0.0514224,-0.0470484,-0.0534456,-0.0450837,-0.0670029,-0.0744709,-0.0627347,-0.0766391,-0.0596453,-63.401721,-63.9976,-61.996636,-64.578593,-61.292871
30390,3.604634245985477,-30.37115252344006,6.372124,6.359945036558463,6.367925759416298,6.375906482274128,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,42549.0,0.0038284100763569,1.721673,1.6987084,1.7209732,1.6879766,1.7332822,1.2207667,1.2132914,1.2207985,1.2090319,1.2238494,1.410321,1.3983541,1.4101693,1.3915418,1.4163945,-0.0236203,-0.0252584,-0.0202991,-0.027376,-0.0192843,0.0497245,0.048592,0.0511848,0.0471192,0.052951,57.704403,55.985019,58.728589,55.163969,59.758296
32065,3.59553069830252,-30.36879374961148,6.30023,6.2902137374290215,6.298118847470599,6.306023957512014,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",44237.0,0.0926135419560916,1.9813938,1.946008,1.9805567,1.9321223,1.9954232,1.3697222,1.3527026,1.3685112,1.3491069,1.3745115,1.4465662,1.4306046,1.4570719,1.4244235,1.4680429,-0.0186981,-0.0258852,-0.01663,-0.026983,-0.0144371,-0.0051387,-0.0067775,-0.0033946,-0.0086763,-0.0016852,-82.316488,-85.203793,-80.616133,-87.914113,-78.710915
33673,3.600113527958513,-30.36581355252957,6.774164,6.767876752840828,6.776299814596082,6.784722876351335,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",45905.0,0.0037358526793216,1.7741765,1.7477507,1.7751936,1.7406809,1.7810928,1.2495051,1.2403566,1.2489593,1.2373786,1.252657,1.4199035,1.4058358,1.4217077,1.4004822,1.4276091,-0.0357711,-0.0395324,-0.0332166,-0.0406733,-0.0311109,0.0320394,0.0303075,0.0330252,0.0286533,0.034491,69.074971,67.59091,71.076862,66.282907,72.029742
34265,3.607180703847201,-30.36481663770747,6.351511,6.348277006459394,6.3562450771419625,6.364213147824531,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,46529.0,0.0052235214753437,1.636783,1.6191617,1.6368389,1.610979,1.6461223,1.1595388,1.1545783,1.1595631,1.1536222,1.161598,1.4115812,1.3998691,1.4116671,1.3953878,1.4174062,-0.038141,-0.039575,-0.0347993,-0.0410416,-0.0337821,0.0668821,0.0661185,0.0684047,0.0653236,0.0689723,59.847449,58.573192,60.291121,58.272146,61.118486
35123,3.591928729950257,-30.36306885803072,6.254383,6.244093628094552,6.251948728006631,6.25980382791768,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,47443.0,0.0092308311089422,2.1010257,2.067304,2.0997364,2.0509739,2.1111246,1.4457191,1.4264264,1.4424968,1.4169951,1.4480604,1.4532738,1.445937,1.4571481,1.4415154,1.4612118,0.0001363,-0.0011513,0.0032942,-0.0038308,0.0059742,0.0017927,0.0007624,0.0055962,-0.0014902,0.0077105,42.825594,14.195556,45.277799,-74.158936,77.88184
36755,3.600330212871877,-30.36068623407005,6.252933,6.244093628094072,6.25194872800512,6.259803827916167,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.176913333333331,"3,4,6",49139.0,0.0105316105467434,1.7172011,1.6942938,1.7160548,1.6855987,1.7287462,1.1947367,1.187576,1.1944779,1.1838693,1.1975767,1.4373051,1.426269,1.4378471,1.4197572,1.4443399,-0.0343245,-0.0365943,-0.0315489,-0.038123,-0.0294246,0.0617275,0.0605369,0.0634167,0.0593284,0.0644896,59.538475,58.338643,60.362161,57.507942,61.230377
36857,3.582829450604097,-30.36029629501599,6.764063,6.755562011452439,6.763971719773991,6.772381428095543,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,49245.0,0.0009026772585117,4.3271679,4.1578769,4.4074547,4.0668156,4.5049833,1.4488106,1.4278847,1.443324,1.4164208,1.4496865,2.9867003,2.8953396,3.0680871,2.8482206,3.1314026,0.0112207,0.0053796,0.0133148,0.0042407,0.0160545,-0.1773472,-0.1855581,-0.1757603,-0.1887144,-0.1735753,-43.189864,-44.170667,-42.855062,-44.351031,-42.320508
