SOURCE_ID,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,phot_bp_rp_excess_factor
664399078114921600,129.5889744868829,20.44804947477717,5.370599381253776,0.026148751,-34.19884941981192,-13.95986681033784,14.586514,15.586896,13.595594,1.9913015,1.0551578,1.3371403
664401964332947584,129.53390885882294,20.44608862548237,5.482580349259652,0.038131505,-36.32283723510629,-13.643014178546819,15.453122,16.693665,14.345189,2.3484755,1.0130879,1.3991847
664437561021480192,130.23946210289986,20.47811462300478,5.532067999898679,0.19463393,-36.32190061945252,-12.09831716775815,18.398144,20.402775,17.101847,3.300928,0.9751626,1.503539
664442233945917440,130.04159855659705,20.418891898831973,5.537972562141258,0.027673407,-36.200923375940576,-14.299105820659406,14.657826,15.824147,13.585366,2.238781,1.1836994,1.3780143
664444639127529728,129.86094786716814,20.43115023866976,5.304670602997062,0.06352264,-35.766529256728546,-13.041140472130639,16.380161,17.92849,15.16001,2.7684793,1.0609,1.4692438
664444914005442304,129.79217083003346,20.408322311397356,5.520692329542208,0.018589674,-36.82035668856983,-13.830031552614615,13.751353,14.55786,12.874062,1.6837988,1.0561802,1.2893782
664461853356491264,130.40191915429452,20.567834617072698,5.509445900308523,0.09732105,-37.96766567978251,-14.05397713275433,17.14029,18.837366,15.886979,2.950387,1.0413228,1.4870969
664463502623929088,130.4337431810143,20.604406728885927,5.431695245012729,0.08994584,-35.79377315165561,-13.448622826383144,16.841192,18.462273,15.606036,2.8562365,1.0529617,1.4759707
659674197475355392,129.8305486363007,18.639544611506107,4.818472425062382,0.3108515,-37.99670914331888,-13.311738533718296,19.025984,21.007944,17.692951,3.314993,1.0673293,1.5537571
659742367196651392,129.38410920094157,18.883925463190142,5.319872697713145,0.04511184,-34.19913430785426,-12.648659041921123,15.454876,16.68656,14.357552,2.329008,1.012157,1.3897253
660981349298550272,130.3985437308422,18.74299626142348,5.390217030998223,0.069077715,-36.278669481798296,-11.944347017691022,15.955235,17.365757,14.786623,2.579134,1.0484705,1.4327853
