SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dist_pc
1689060421036483072,192.48130983206346,71.19346632347516,20.295767772998445,0.029700872,9.707015,1.2270422,49.27135603760717
1691020678470465024,182.44599451461076,74.66138726302943,14.028785403868646,0.047243044,6.2253966,0.66310406,71.28200847125619
1692267077979468544,188.0270949853796,74.48933120311683,14.717366855991738,0.014844587,8.596648,0.80077934,67.94693709716692
1694725963936556288,223.34486511542,69.46744240355746,26.131295143747206,0.011648902,8.8413515,1.1615639,38.268290741007675
1696831425624356480,227.8677795841672,71.8413075928406,13.625051468319036,0.011907818,8.922493,0.8277378,73.39421816682305
1703967462247638400,239.37146793822023,76.09093142510774,10.289132990528561,0.018291516,7.9632187,0.8843579,97.18991881245275
1707447828865833600,240.13575988762824,77.16942094361539,16.163068839693004,0.011819966,9.014059,0.84472275,61.86943889914124
1711437235008921984,209.96160474077683,73.3980810279098,13.155120672731654,0.016606431,7.638042,0.8378668,76.01602637312415
1714573763725923840,216.6795466973528,78.49932004490464,16.073801822708923,0.01665104,7.1305766,0.6142154,62.21303528747063
1718005305156264704,184.04941019727158,80.12505789747935,11.759860371108486,0.015809681,7.1404543,0.44393635,85.0350232437105
1718504174197492608,194.347770751356,79.9129615676496,12.465301245252284,0.017652614,7.988328,0.60247326,80.22269019618555
1721438942531602048,231.12780746957523,81.89519422642425,25.304548848399484,0.014901057,7.5837855,0.76210403,39.51858640084983
1723715034679751168,261.28187432035014,85.11551824441882,21.115284035065486,0.012176695,9.301451,1.0523939,47.35905983264689
1726231988594763520,195.07908463283522,84.25128894302705,13.563820959182529,0.14434658,9.079803,0.838274,73.72553818052377
1727614070414360448,226.96665365602684,86.49170147167753,10.324282883066342,0.014556095,9.727056,0.8154373,96.859027530152
1728674141358771840,183.8314573534341,87.70035139518129,20.66850439285029,0.020418225,6.1886435,0.45529127,48.38279446798884
1745244296985069184,320.34011838487754,10.332108336426293,19.61607480112891,0.4481192,6.5974445,0.6904907,50.978598426962044
1775004778213735168,332.963863851598,16.040478120102815,18.459330163303328,0.039203115,5.6828136,1.1147203,54.17314665014087
1784061008815679232,321.777198284323,16.123723640558115,30.25224720713704,0.023012934,6.607284,0.6779008,33.05539562575313
1787693589076214016,323.24295539088587,20.712203151899992,16.77357707008142,0.020609045,7.8466015,0.6438999,59.617575656159424
1869736226174945280,314.7050539916223,35.50705015031077,11.220096817883507,0.015307951,8.4774885,0.65863705,89.12579064434794
