SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_good_obs_al,dist_pc
2247961285452378240,300.4913905705801,65.89040088449025,11.653602858725671,0.014249461,8.226977,0.62410975,0.92932075,0.10828183,9.60631,321,85.8103723048402
2256608321631380864,276.5488263343265,64.56971119314086,13.46769118727932,0.01145203,9.936107,1.0603342,0.96488816,0.07893256,8.226665,295,74.25177679634749
2260329210715353600,274.1978441077907,70.19015111729351,13.132876147739461,0.011571116,10.174501,1.0473776,1.0873611,0.101882994,15.619403,357,76.14478266226003
2260646896559221248,271.16132405084295,71.33816536447036,12.303053349181631,0.011551917,9.769577,0.9164314,1.0532874,0.098546095,12.740435,337,81.28063592169318
2260870342235499136,292.3614048894899,67.32032904227817,10.436077259996159,0.011236169,9.249976,0.72389317,1.0346226,0.081075706,8.147453,301,95.82144469485924
2263523635591283456,294.474236748063,71.54307306903134,19.768218136442382,0.010913135,8.976486,1.0108747,0.8069036,0.060816504,3.6757362,324,50.58624875028653
2263888570372650752,297.75261064004667,72.75292021419004,12.386585262831339,0.01012012,10.949737,1.2259846,0.81253004,0.07132677,7.0591908,335,80.73250042533667
2266605665466276096,276.04444305805174,72.16804730214686,11.515772368742649,0.010967361,11.810795,1.4822149,1.0734781,0.08373236,9.968745,299,86.83742331641669
2268812389599636736,275.20509432400723,74.89480562580567,13.971895502157958,0.011322522,11.30102,1.5176477,0.8608859,0.07777738,8.297392,300,71.57225015357079
2269078845074203136,271.8820161990232,75.52312303543125,10.670385525582564,0.0089469,11.977162,1.5566435,1.071783,0.06957392,7.457517,390,93.71732610808397
2270224196890996608,312.99860811679474,68.32177084638016,12.177845488187769,0.01036906,9.093564,0.78993607,0.8259709,0.047771834,2.2723665,306,82.11633174110946
2271889888287018880,312.2812205892446,71.23041481384335,10.992310545931572,0.010697268,9.713386,0.8471117,0.86398983,0.06242933,5.1188874,318,90.97268457086265
2274999135371224960,312.1034334757974,72.056239210116,10.70452265270038,0.011697443,9.887808,0.9492502,0.94737387,0.080321394,7.50468,323,93.41845801482187
2280076405190521472,327.25676368300367,75.00134882086958,27.60379567398483,0.012111654,8.728644,1.0516253,0.9685543,0.08005234,6.5061116,342,36.226901974298016
2282209835703883648,341.1458453099642,77.1270927272326,11.650949413339488,0.19746266,10.918871,1.308404,17.495728,2.380778,8475.398,368,85.82991518743296
2285836368651391872,345.1555246094065,80.04647187253644,12.638727807273836,0.011140487,10.821451,1.2243099,0.9934205,0.076282,8.582866,320,79.12188752292619
