specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50
301900906494978048,268,51633,581,150.28724,0.45483777,0.09665812,474.5296,4.570241,92.84365,2.47049,48.29964,2.313466,140.8251,2.381227,10.20821,10.10448,10.32284,0.5225618
301901456250791936,268,51633,583,150.19523,0.24463182,0.06573609,186.5519,2.566647,45.47926,1.825961,101.7655,2.526178,19.52852,1.217379,9.340461,9.280947,9.412012,0.03556006
301902280884512768,268,51633,586,150.22831,0.59220611,0.04001235,139.3271,2.55746,37.92846,1.91475,27.98774,1.980956,39.51387,1.587863,9.37646,9.316022,9.465401,-0.157601
301902555762419712,268,51633,587,150.22255,0.55250011,0.04627055,166.8309,3.157361,39.89712,2.379163,9.594817,1.732352,50.62418,1.773959,9.750198,9.659886,9.840364,-0.4568921
301903380396140544,268,51633,590,150.28953,0.58652514,0.03422084,176.7913,2.365292,50.38275,1.946481,38.52822,1.9879,40.77235,1.397027,9.189971,9.133575,9.256885,-0.3095871
301903655274047488,268,51633,591,150.29836,0.22565207,0.03264382,109.4251,7.286359,33.27227,4.850032,63.28648,5.467138,143.1891,7.401545,11.07523,10.98444,11.15969,-1.332664
301904205029861376,268,51633,593,150.24791,0.30667754,0.04573169,334.7697,3.918788,101.8651,2.579432,110.3737,2.549902,69.59578,1.668594,9.365784,9.289688,9.477444,-0.2935231
301904479907768320,268,51633,594,150.29836,0.25289339,0.1046337,81.96252,3.564373,24.22712,2.17732,11.59108,2.209046,34.06715,3.038332,10.51525,10.41927,10.61528,0.2957485
301905029663582208,268,51633,596,150.29948,0.32932078,0.03448851,1162.312,9.816885,245.3313,4.376595,44.59954,3.289293,477.29,5.492077,10.41178,10.30761,10.51313,0.5374109
301906678931023872,268,51633,602,149.98211,1.1106445,0.03252251,1682.515,12.31965,446.2654,5.731595,461.3172,5.990154,335.478,4.040669,9.218295,9.142882,9.334253,-0.04401541
301907778442651648,268,51633,606,150.16656,1.0684998,0.09363134,134.4062,2.276971,32.0603,1.906245,11.14184,1.635126,42.97071,1.598669,10.09927,10.00724,10.20589,0.1104978
301908328198465536,268,51633,608,150.22005,1.0045795,0.08107227,302.3946,3.542575,68.59451,2.32819,17.28612,2.022961,104.6819,2.127482,9.99638,9.926094,10.08487,0.3248252
301908877954279424,268,51633,610,150.03499,0.9847942,0.03182067,2968.515,20.97709,762.4696,8.641508,1214.737,12.00694,1765.803,12.74424,9.836057,9.748466,9.962494,0.09779301
301909152832186368,268,51633,611,150.05311,0.77419393,0.06198409,455.0872,4.530187,112.9706,2.720818,38.55032,2.279813,152.9543,2.575994,9.900105,9.819648,9.999361,0.02073914
301910252343814144,268,51633,615,149.99488,1.0549923,0.04647528,621.7155,6.783577,140.5407,3.455932,35.48611,2.946269,227.248,3.99233,10.09602,10.01604,10.1938,0.08815123
301911076977534976,268,51633,618,150.14048,0.85607999,0.03256777,235.5378,3.075078,74.14877,2.481694,59.46356,2.410907,52.97992,1.73406,9.16299,9.110308,9.236904,-0.3923685
301912176489162752,268,51633,622,150.39058,0.44874703,0.0332075,269.974,3.37635,93.7084,2.569785,71.48046,2.526275,63.82867,1.871688,9.344182,9.28956,9.427427,-0.1389764
301912451367069696,268,51633,623,150.448,0.5116155,0.09366594,154.9048,2.316862,41.20297,1.790976,25.32718,1.729633,34.81161,1.429799,9.784086,9.716557,9.869012,0.2366829
301915200146139136,268,51633,633,150.31873,0.12098792,0.03218562,293.8237,3.482139,68.25063,2.264468,14.5841,1.881633,86.83197,2.197969,9.93179,9.842037,10.02194,-0.2895998
301915475024046080,268,51633,634,150.52855,0.25767815,0.04574162,93.14961,2.723551,26.42593,2.035096,16.0966,1.697796,26.37182,1.441878,9.364898,9.301609,9.450599,-0.1959998
301916574535673856,268,51633,638,150.48578,0.18780168,0.06621388,358.1598,4.023693,57.91629,2.41033,18.71858,2.305773,145.9717,2.661162,10.17387,10.08427,10.2754,0.5230898
301917124291487744,268,51633,640,150.33843,0.15710264,0.09205124,507.7617,5.96054,117.4207,3.327506,152.3866,3.77449,265.4893,4.325299,10.41954,10.32715,10.51392,0.2397031
302867656740988928,269,51910,2,151.50262,-0.94281438,0.04359543,289.3204,3.970433,87.80264,3.02493,216.2337,4.350788,29.04395,1.879849,8.895643,8.834828,8.970867,-0.2440129
302868206496802816,269,51910,4,151.46757,-0.81325888,0.0437604,74.46988,4.285396,17.05838,3.396358,28.92347,4.496761,62.8944,5.078786,10.54263,10.44967,10.63922,-0.3054658
302868481374709760,269,51910,5,151.55758,-0.79208042,0.08550981,294.0524,3.960477,57.2724,2.71652,11.77109,2.32563,102.9189,2.527897,10.37429,10.27954,10.47218,0.5096685
302869855764244480,269,51910,10,151.84813,-0.75924952,0.1164644,291.1826,4.941603,61.7017,3.334787,16.92091,3.183837,110.9728,3.633209,10.46788,10.37648,10.56649,0.6521618
302870405520058368,269,51910,12,151.67706,-0.89263129,0.0955369,512.6663,6.178103,116.3495,4.222839,33.1859,3.761493,231.0068,4.019228,10.4195,10.3231,10.51112,0.6230878
302872054787500032,269,51910,18,151.56104,-0.98272919,0.04583225,146.315,3.917195,36.79327,2.535776,21.6522,2.296278,41.73342,1.977906,9.623073,9.552025,9.713021,-0.1871719
302873154299127808,269,51910,22,152.08116,-0.25702094,0.0898695,236.9297,3.680072,52.20081,2.669495,14.39731,2.398622,99.39104,2.666172,10.2852,10.19123,10.38574,0.4345867
302875078444476416,269,51910,29,151.9368,-0.63536495,0.08759098,236.7112,3.892966,51.6313,2.906099,13.64085,2.619227,77.89091,2.639813,10.37228,10.28695,10.4638,0.4822719
302875903078197248,269,51910,32,151.93295,-0.13914898,0.06765883,459.7576,6.928047,58.49845,3.834197,32.44934,3.842694,252.6933,5.367491,11.08703,10.99021,11.18438,0.3804027
302876727711918080,269,51910,35,152.02016,-0.38987908,0.03334356,159.8421,2.971327,52.6517,2.654377,47.35887,2.706986,67.48392,2.206881,9.506905,9.431735,9.594393,-0.3985362
302879476490987520,269,51910,45,151.44612,-1.2456921,0.08437029,0.0,-0.7509965,42.67182,3.164339,17.14392,2.551402,0.0,-0.7509965,10.00287,9.913243,10.09951,-0.07833656
302881400636336128,269,51910,52,151.42999,-0.77400858,0.0452119,76.35715,2.772701,19.76627,2.193657,24.36217,2.440624,12.57081,1.559699,9.27029,9.178413,9.385805,-0.7823527
302882500147963904,269,51910,56,151.44636,-1.1805702,0.03225636,545.075,6.08659,152.6431,3.758352,163.6821,4.067122,114.4559,2.563276,9.119048,9.056254,9.215247,-0.342147
302884424293312512,269,51910,63,151.73923,-0.36966425,0.09594652,185.7986,3.356841,45.62185,2.606883,18.89025,2.462549,66.70149,2.404007,10.18404,10.10095,10.27373,0.2389535
302884974049126400,269,51910,65,151.84889,-0.28554879,0.09424894,238.1157,3.603124,51.02438,2.327813,23.55211,2.258884,84.16088,2.267353,10.32975,10.23718,10.43099,0.426546
302885248927033344,269,51910,66,151.82384,-0.26039293,0.0668576,363.477,5.244451,85.41187,3.379651,45.29875,3.451801,163.1321,3.735089,10.42712,10.34105,10.52173,0.3748908
302885523804940288,269,51910,67,151.80956,0.055850091,0.02166339,199.3246,3.088176,66.94772,2.709691,112.3815,3.324575,21.76003,1.478318,8.34309,8.283375,8.414093,-0.89799
302887447950288896,269,51910,74,151.83273,-0.53974128,0.09362166,318.2583,4.532271,63.96496,2.952502,24.4994,2.83421,134.9151,3.220427,10.55995,10.46427,10.66116,0.6792587
302888822339823616,269,51910,79,151.82309,-0.078680986,0.04651895,229.4227,4.643783,48.91931,2.804636,16.03669,2.568014,96.48497,3.204931,10.2876,10.19545,10.38293,-0.06063511
302889372095637504,269,51910,81,151.06646,-1.2134722,0.06609736,1105.474,10.98858,259.5634,5.552082,134.3046,5.268162,349.632,5.70039,10.23203,10.16802,10.32393,0.6278261
