tjd,aperture_difference_flux,scaled_aperture_flux,mit_difference_flux,residual
1329.4490291034106,-0.9509811401367188,-1001.1743091559973,-944.1944678029806,-56.979841353016695
1329.4698627058594,0.8805332183837891,2441.9313683509376,-763.5375495336598,3205.4689178845974
1329.490696308193,0.10314750671386719,980.5062121618024,-669.8684205726967,1650.374632734499
1329.5115299103504,0.018339157104492188,821.0730585632075,-941.4806225358482,1762.5536810990557
1329.5323635123918,-1.9242591857910156,-2830.8619385187135,-1512.0663700654882,-1318.7955684532253
1329.553197114258,-0.5666542053222656,-278.66932571299446,-994.8110109980829,716.1416852850884
1329.574030715951,-0.5527057647705078,-252.4473337134774,-3811.510465333488,3559.0631316200106
1329.594864317528,-4.813955307006836,-8263.267682400055,-6308.4347989324315,-1954.832883467624
1329.6156979189875,-3.327373504638672,-5468.608596054157,-5482.150983847562,13.542387793405396
1329.636531520214,-2.1612606048583984,-3276.4063197417386,-4759.322604273337,1482.9162845315982
1329.657365121324,-1.6103477478027344,-2240.732655969758,-3783.0391783459313,1542.3065223761732
1329.6781987223171,-1.6491355895996094,-2313.6508057444303,-4218.943455603885,1905.2926498594547
1329.699032323137,-2.0889663696289062,-3140.498735609687,-5337.781083569571,2197.2823479598837
1329.719865923782,-2.8821258544921875,-4631.57736832501,-3160.7439009535506,-1470.8334673714594
1329.74069952431,-1.1248664855957031,-1328.0653419233931,-2758.3536921507402,1430.288350227347
1329.761533124663,-3.3578548431396484,-5525.91116054811,-3977.7632313289423,-1548.147929219168
1329.7823667249,-1.4528217315673828,-1944.5958998849624,-3914.134192924249,1969.5382930392866
1329.8032003249618,-2.0335845947265625,-3036.385271956197,-2990.0803375934524,-46.30493436274446
1329.8240339248505,-2.287517547607422,-3513.7596303404025,-2439.5174424816196,-1074.242187858783
1329.8448675246218,-2.197277069091797,-3344.1144935318225,-2804.722362860636,-539.3921306711864
1329.865701124219,-2.198894500732422,-3347.155140217941,-2778.2076427663364,-568.9474974516047
1329.886534723641,-1.972452163696289,-2921.461018492978,-1234.1506543506905,-1687.3103641422874
1329.907368322946,0.028217315673828125,839.6432344917592,-1637.2497614574113,2476.8929959491707
1329.9282019220768,-0.8377227783203125,-788.2573277624077,-2750.1262700423276,1961.8689422799198
1329.9490355210346,-1.1982898712158203,-1466.0956416665094,-1040.4535346683886,-425.6421069981209
1329.9698691198755,0.9191856384277344,2514.594935679013,151.84399430102846,2362.7509413779844
1329.9907027185404,1.4798107147216797,3568.526822240757,226.4459786785942,3342.080843562163
1330.011536317089,-1.6679763793945312,-2349.0700368358057,169.74211138898374,-2518.8121482247893
1330.0323699154635,0.5172653198242188,1759.0157481879387,-301.225280845755,2060.241029033694
1330.053203513664,0.3292694091796875,1405.5979416187613,-348.6788472543171,1754.2767888730784
1330.0740371116894,-0.6106319427490234,-361.34407882838684,-1532.4416873901564,1171.0976085617694
1330.094870709598,-1.9768600463867188,-2929.747497846305,-2315.3628394121483,-614.3846584341568
1330.1157043073322,-1.2888660430908203,-1636.3718560891903,-572.4811330616249,-1063.8907230275654
1330.136537904891,1.13543701171875,2921.1308318804677,-1398.5345849918358,4319.6654168723035
1330.1573715023342,-0.9887962341308594,-1072.2637681170836,-2187.249116706506,1114.9853485894223
1330.178205099603,-2.121734619140625,-3202.1005163496984,-197.77224864733512,-3004.3282677023635
1330.1990386966975,-0.213714599609375,384.8299008116366,-1597.2830418319136,1982.1129426435502
1330.219872293675,-1.7471237182617188,-2497.860927032983,-3518.247272456584,1020.3863454236011
1330.240705890478,-2.6608638763427734,-4215.621921599456,-1281.3837529186462,-2934.23816868081
1330.261539487106,1.2034454345703125,3048.9814194279556,-466.86967407993245,3515.851093507888
1330.282373083559,-1.3148040771484375,-1685.1333587832187,-956.695634981512,-728.4377238017067
1330.303206679897,-0.3842124938964844,64.30701487743363,-104.93945419204783,169.24646906948146
1330.32404027606,0.6368999481201172,1983.9196185811707,220.67548936898004,1763.2441292121907
1330.365707467861,0.6572113037109375,2022.1033999024967,-220.22926738266528,2242.3326672851617
1330.3865410635576,-0.3825817108154297,67.37276124138646,-568.277420108953,635.6501813503395
1330.407374659079,-0.5658073425292969,-277.0772890046961,-958.7406592899745,681.6633702852783
1330.428208254427,-0.4919624328613281,-138.25455657569296,-281.47555773895,143.22100116325703
1330.449041849601,-0.08070182800292969,634.8836483940676,811.4782596491536,-176.59461125508608
1330.469875444658,0.9916114807128906,2650.749930921138,1600.5982970169043,1050.1516339042337
1330.4907090395395,0.5955276489257812,1906.142888311579,1474.942767005486,431.200121306093
1330.511542634247,0.8500804901123047,2384.6825888809135,724.7300624963707,1659.9525263845428
1330.53237622878,0.5479164123535156,1816.6374371572042,-417.60898975417797,2234.246426911382
1330.553209823197,-1.9951953887939453,-2964.2165268482686,-1519.6581154349951,-1444.5584114132735
1330.5740434174386,-0.22010040283203125,372.82508347068443,-1378.7589779070759,1751.5840613777602
1330.594877011505,-0.8206367492675781,-756.1369114720106,-1924.1939283476854,1168.057016875675
1330.615710605397,-1.2997722625732422,-1656.8747072109236,-2192.7984615326154,535.9237543216918
1330.636544199115,-1.6397857666015625,-2296.073859924434,-1147.5463338035847,-1148.5275261208494
