pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
TOI-2989 b,TOI-2989,2025,Transit,3.122832,0.0,,,1.12,3.0,0.77,4672.0
Kepler-424 b,Kepler-424,2014,Transit,3.3118644,0.0,,,0.89,1.03,1.01,5460.0
TOI-163 b,TOI-163,2019,Transit,4.231306,0.0,,,1.489,1.22,1.4352,6495.0
WASP-102 b,WASP-102,2025,Transit,2.709813,0.0,,,1.33,0.622,1.08,5990.0
WASP-186 b,WASP-186,2020,Transit,5.026799,0.33,0.01,-0.01,1.11,4.22,1.22,6361.0
TOI-5340 b,TOI-5340,2025,Transit,4.9394392,0.13,,,1.345,0.85,1.35,5990.0
WASP-118 b,WASP-118,2016,Transit,4.0460435,0.0,,,1.44,0.514,1.32,6410.0
TOI-1278 b,TOI-1278,2021,Transit,14.47567,0.013,0.004,-0.004,1.09,18.5,0.54,3799.0
K2-107 b,K2-107,2017,Transit,3.313959,0.0,,,1.42564011,0.84,1.3,6061.0
HAT-P-36 b,HAT-P-36,2011,Transit,1.32734683,0.063,0.021,-0.023,1.277,1.8482,1.03,5620.0
HAT-P-12 b,HAT-P-12,2009,Transit,3.2130598,0.0,,,0.959,0.211,0.733,4650.0
TOI-216.01,TOI-216,2019,Transit,34.525528,0.0046,0.0027,-0.0012,0.9010632,0.56,0.77,5026.0
HD 37605 b,HD 37605,2004,Radial Velocity,55.01292,0.6745,0.0019,-0.0019,1.18,2.69,0.94,5329.0
TOI-1823 b,TOI-1823,2024,Transit,38.8,0.0,,,0.67273058,0.21206412,0.8414,4927.0
WASP-81 b,WASP-81,2017,Transit,2.7164762,0.066,,,1.429,0.729,1.08,5870.0
TOI-558 b,TOI-558,2021,Transit,14.574071,0.298,0.022,-0.02,1.086,3.61,1.349,6466.0
KOI-94 d,KOI-94,2013,Transit,22.342989,0.022,0.038,-0.038,1.005,0.334,1.277,6182.0
TOI-1859 b,TOI-1859,2023,Transit,63.48347,0.57,0.12,-0.16,0.87,0.216,1.287,6341.0
CoRoT-27 b,CoRoT-27,2014,Transit,3.57532,0.065,,,1.007,10.39,1.05,5900.0
Kepler-51 c,Kepler-51,2012,Transit,85.312,0.014,0.013,-0.009,0.803,0.013,1.04,6018.0
WASP-164 b,WASP-164,2018,Transit,1.7771255,0.0,,,1.128,2.13,0.946,5806.0
K2-237 b,K2-237,2018,Transit,2.18053332,0.03,0.033,-0.021,1.433,1.366,1.256,6180.0
TOI-5322 b,TOI-5322,2025,Transit,5.4233207,0.055,,,1.482,0.579,0.998,5692.0
Kepler-975 c,Kepler-975,2023,Transit,5.05821338,0.0,,,0.95369956,0.252,0.951,4883.0
TOI-216.02,TOI-216,2019,Transit,17.16073,0.16,0.003,-0.002,0.71371342,0.059,0.77,5026.0
TOI-2328 b,TOI-2328,2025,Transit,17.10197,0.057,0.046,-0.029,0.89,0.16,0.95,5525.0
TOI-2152 A b,TOI-2152,2023,Transit,3.3773512,0.057,0.068,-0.04,1.281,2.83,1.516,6630.0
TOI-2524 b,TOI-2524,2023,Transit,7.18585,0.0,,,1.0,0.64,1.007,5831.0
HATS-2 b,HATS-2,2013,Transit,1.35413379,0.0,,,1.122,1.37,0.904,5227.0
HD 83443 b,HD 83443,2002,Radial Velocity,2.985628,0.012,0.007,-0.006,1.25,0.402,1.0,5442.0
WASP-106 b,WASP-106,2014,Transit,9.28969,0.023,0.027,-0.016,1.08,1.93,1.175,6002.0
TOI-1259 A b,TOI-1259 A,2021,Transit,3.4779792,0.0,,,1.03488447,0.44363561,0.746,4775.0
HAT-P-60 b,HAT-P-60,2021,Transit,4.7947813,0.25,,,1.631,0.574,1.435,6212.0
WASP-123 b,WASP-123,2016,Transit,2.97764359,0.0,,,1.35,0.899,1.166,5740.0
TOI-2202 c,TOI-2202,2021,Transit Timing Variations,24.6744,0.0622,0.0452,-0.0211,1.19,0.369,0.823,5144.0
HAT-P-41 b,HAT-P-41,2012,Transit,2.69405,0.0,,,2.05,1.19,2.56,6390.0
CoRoT-14 b,CoRoT-14,2010,Transit,1.51214,0.0,,,1.09,7.6,1.13,6035.0
HD 9446 b,HD 9446,2009,Radial Velocity,30.052,0.2,0.06,-0.06,1.25,0.7,1.0,5793.0
HAT-P-31 b,HAT-P-31,2011,Transit,5.00542,0.25,0.0,0.0,1.09,2.27,1.31,6065.0
K2-19 b,K2-19,2015,Transit,7.9193,0.1,0.08,-0.06,0.62449925,0.09690764,0.88,5322.0
HAT-P-67 b,HAT-P-67,2017,Transit,4.8101069,0.0,,,2.14,0.45,1.73,6640.0
TOI-2373 b,TOI-2373,2023,Transit,13.33668,0.112,0.007,-0.009,0.93,9.3,1.041,5651.0
TOI-5386 A b,TOI-5386 A,2025,Transit,3.62156552,0.072,,,1.312,0.488,1.165,6094.0
HD 41004 B b,HD 41004 B,2003,Radial Velocity,1.3283,0.081,0.012,-0.012,1.08,18.37,0.4,5036.0
Kepler-91 b,Kepler-91,2013,Transit,6.24658,0.0519,0.0095,-0.0088,1.367,0.81,1.31,4550.0
TOI-4458 b,TOI-4458,2026,Transit,3.9393792,0.03,0.024,-0.02,1.107,1.737,1.47,6151.0
TOI-1420 b,TOI-1420,2023,Transit,6.9561063,0.17,,,1.06075658,0.07897343,0.987,5510.0
TOI-4791 b,TOI-4791,2023,Transit,4.28088,0.0,,,1.11,2.31,1.242,6058.0
TIC 147027702 b,TIC 147027702,2026,Transit,44.40523,0.127,0.055,-0.048,0.975,1.09,1.406,6410.0
HATS-56 b,HATS-56,2019,Transit,4.324799,0.019,,,1.688,0.602,1.573,6536.0
WASP-154 b,WASP-154,2025,Transit,3.811678,0.0,,,0.96,0.626,0.8,4774.0
HAT-P-43 b,HAT-P-43,2012,Transit,3.3326414,0.0,,,1.21598925,0.662,1.03,5693.0
HAT-P-42 b,HAT-P-42,2012,Transit,4.641878,0.0,,,1.28,1.044,1.178,5743.0
TOI-172 b,TOI-172,2019,Transit,9.47725,0.3806,0.0093,-0.009,0.965,5.42,1.128,5645.0
HATS-38 b,HATS-38,2020,Transit,4.375021,0.0,,,0.614,0.074,0.89,5732.0
Kepler-857 b,Kepler-857,2016,Transit,85.35129427,0.0,,,0.60665537,0.117,0.99,5773.0
Kepler-77 b,Kepler-77,2013,Transit,3.57878087,0.0,,,0.96,0.43,0.95,5520.0
