id,z_phot,f_f444w,e_f444w,mu,mu_low_68,mu_high_68,intrinsic_f444w_proxy
10622,7.046985,1.264723,0.1863714,1.716852,1.704017,1.73635,0.7366523148180507
10814,8.42922,1.98933,0.1654894,1.748244,1.736944,1.778514,1.1379018031807917
10832,7.370075,1.797942,0.3357724,1.469879,1.464085,1.487439,1.2231904803048415
10860,6.723935,1.939727,0.21511,1.533722,1.526771,1.555994,1.2647187691120032
10963,7.094751,1.738614,0.2435086,1.749423,1.734984,1.775116,0.9938213913959061
11092,6.242512,4.722255,0.3259513,1.387332,1.380187,1.396864,3.40383916755326
11159,6.497239,9.344807,0.6139419,1.736444,1.726713,1.762171,5.381576946909891
11228,10.85601,1.85253,0.2739903,1.483144,1.476129,1.499732,1.2490560592902644
11402,6.674439,6.693337,0.3319612,1.391192,1.380973,1.397528,4.811224475126366
11405,6.167961,3.17029,0.1520977,1.722528,1.707113,1.754417,1.8404867729290901
11436,8.383539,4.120543,0.3832679,1.62861,1.625665,1.657961,2.5300980590810567
11767,6.13461,2.102627,0.3482701,1.614878,1.610622,1.637807,1.3020345809404796
11921,6.120458,0.8469007,0.1607516,1.743472,1.728703,1.774432,0.4857552630612938
12020,6.271878,2.301069,0.2943102,1.761478,1.757466,1.802898,1.3063285490934318
12179,6.629269,13.66655,0.6533922,1.38707,1.377866,1.392414,9.85281925209254
12185,8.552649,11.64945,0.3396219,1.723579,1.721672,1.758605,6.758872091154511
12190,11.94693,4.257167,0.716683,1.263988,1.254612,1.269615,3.3680438421883756
12199,6.694664,5.099725,0.3348381,1.745019,1.73767,1.779004,2.922446689692204
12212,6.34156,4.067221,0.5943165,1.374284,1.366108,1.37887,2.9595200118752745
12259,8.676266,4.309181,0.3138036,1.521697,1.520717,1.552255,2.8318259154089147
12290,6.67682,1.795877,0.283659,1.488147,1.483089,1.501542,1.2067873671082223
12369,10.68615,2.96622,0.5353487,1.306586,1.297963,1.311961,2.2702064770325103
12480,8.850429,2.480913,0.3394884,1.488339,1.490024,1.517106,1.6669004843654571
12583,6.714252,4.358862,0.3071347,1.513702,1.503839,1.529166,2.8796037793436224
12602,6.149099,24.11026,0.3967599,1.894513,1.876439,1.933317,12.726362922819744
12863,9.545864,33.80058,0.5617166,1.646512,1.638153,1.669004,20.528596208226844
12961,6.29245,2.296471,0.3998161,1.485309,1.485606,1.511963,1.5461233992388115
13157,6.285385,5.615751,0.252548,2.077821,2.062898,2.114863,2.7027116387792787
13161,6.635928,2.05965,0.3664359,1.88482,1.885863,1.934113,1.0927568680298385
13361,6.661003,5.037842,0.4041086,1.830205,1.824854,1.863456,2.752610773110116
13411,6.451708,7.876799,0.4664517,1.830094,1.821001,1.867573,4.304040666763565
13532,6.261864,3.04989,0.5347748,1.479441,1.484332,1.508963,2.0615151263213605
13537,9.606405,5.308076,0.989808,1.286739,1.27705,1.29293,4.125215758595954
13606,8.193831,2.371789,0.4401841,1.773621,1.771642,1.8248,1.3372580726096501
13644,6.060808,4.797479,0.2042802,1.546138,1.538395,1.555904,3.1028789150774383
13662,7.749627,3.344998,0.1607078,2.217355,2.205429,2.272321,1.508553208665279
13750,6.772046,1.651823,0.2421352,2.232738,2.213458,2.291016,0.7398194503788622
13796,8.226598,10.68023,0.4662096,1.243581,1.232046,1.247312,8.588286569190105
13917,6.084053,1.731332,0.2776488,1.510425,1.514595,1.53989,1.1462548620421407
13964,6.698978,1.863605,0.2533121,1.999928,1.984778,2.06131,0.9318360460976596
14036,6.861404,2.964613,0.2241088,2.291487,2.272209,2.342134,1.2937507391488583
14076,10.83434,6.535309,0.8499684,1.340234,1.328668,1.347905,4.8762447453205935
14109,6.731303,6.643981,0.5548111,1.444982,1.434848,1.45281,4.59796800236958
14110,6.709569,2.587108,0.3602346,1.443376,1.432065,1.451653,1.7924005941625745
14183,7.26701,15.40653,0.7156773,1.407682,1.396501,1.413464,10.94460964905426
14260,6.07514,15.30397,0.5698758,1.459546,1.448941,1.46645,10.485431771249415
14321,6.670884,5.855677,0.8671943,1.410406,1.399641,1.417998,4.15176693803061
14364,10.49226,4.450598,0.6359425,1.316163,1.304812,1.321479,3.381494541329608
