time,flux,error,quality
288.5443964305887,526074.6875,20.148681640625,144
288.5648294033381,526153.4375,20.157917022705078,16
288.5852622759776,526144.6875,20.16020393371582,16
288.6056953486186,526113.875,20.15309715270996,16
288.6261283211352,526100.1875,20.15383529663086,8208
288.6465612935426,526053.0625,20.153413772583008,16
288.66699426595005,526073.625,20.15936851501465,16
288.68742713834945,526125.125,20.157215118408203,0
288.70786021064123,526044.5,20.14992904663086,0
288.72829318293225,526066.4375,20.154836654663086,0
288.7487261550996,526106.0625,20.158117294311523,0
288.769159027157,526142.6875,20.160062789916992,0
288.7895919992152,526120.9375,20.154531478881836,0
288.81002507126686,526114.5625,20.157106399536133,8192
288.83045794309146,526139.0625,20.157861709594727,0
288.85089091503323,526083.3125,20.159189224243164,8192
288.8713239868521,526113.6875,20.15877914428711,0
288.89175685856026,526104.8125,20.158416748046875,128
288.9121898302692,526094.0625,20.16200828552246,0
288.93262280185445,526117.625,20.15876579284668,0
288.953055773447,526103.75,20.15656089782715,0
288.9734887449231,526096.1875,20.158447265625,0
288.9939217163919,526026.6875,20.154024124145508,0
289.01435468786804,526027.1875,20.15323257446289,0
289.0347876591113,526050.5,20.156085968017578,0
289.05522063046374,526040.1875,20.152938842773438,0
289.07565370159136,526066.8125,20.161094665527344,0
289.0960865728339,526075.625,20.161088943481445,0
289.11651954383706,526105.375,20.15851593017578,0
289.13695241496316,526105.3125,20.157970428466797,0
289.15738548585796,526110.9375,20.15921974182129,0
289.17781845686113,526095.75,20.156721115112305,0
289.19825142763875,526098.25,20.152254104614258,0
289.21868439841637,526137.5625,20.160554885864258,0
289.2391173691867,526173.3125,20.15594482421875,8192
289.2595503398479,526079.5,20.16105842590332,0
289.27998321050836,526075.75,20.156795501708984,0
289.30041628104664,526096.125,20.157466888427734,0
289.3208492515914,526148.1875,20.151880264282227,0
289.34128212201904,526124.6875,20.157669067382812,0
289.3617151924409,526090.3125,20.16234588623047,0
289.38214816275286,526110.3125,20.158416748046875,8192
289.40258103306405,526116.0,20.156967163085938,0
289.4230141032531,526081.375,20.156904220581055,0
289.4434470733322,526133.5625,20.15699005126953,0
289.463879943527,526133.5625,20.160215377807617,0
289.4843129134824,526063.875,20.15996742248535,0
289.5047459834459,526048.125,20.154855728149414,0
289.5251789534086,526113.0,20.156352996826172,0
289.54561182325415,526130.125,20.156902313232422,0
289.56604489309393,526105.0,20.157331466674805,0
289.5864778628238,526059.1875,20.15383529663086,0
289.60691073254566,526135.3125,20.161447525024414,0
289.6273437021591,526055.625,20.157772064208984,0
289.64777677177335,526100.5625,20.155216217041016,0
289.66820964126964,526133.125,20.156814575195312,8192
289.6886426107594,526125.0,20.157102584838867,8192
289.70907558014005,526190.4375,20.155080795288086,0
289.7295085495134,526135.4375,20.149642944335938,0
289.74994151877763,526126.375,20.157073974609375,0
289.77037448804185,526118.5,20.159568786621094,0
289.79080745718966,526118.4375,20.155662536621094,0
289.8112404263302,526110.0,20.155784606933594,0
289.83167329547723,526078.3125,20.153757095336914,0
289.8521063643857,526019.0,20.150331497192383,0
289.8725393334171,526000.375,20.158275604248047,8192
289.8929722023313,526050.375,20.157882690429688,0
