id,ra,dec,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w
3018,3.649664,-30.45573,2217.198,1043.53,1,1,0,0,0,7,9.251336,1.235966,0.1779883,1.306942,5.697934,10.30268,11.58157,,1.235261,1.230725,1.244917,0.1872084,0.0224,0.32,,,,0.7581056,0.9353536,0.05729525,2.370963,0.7796284,0.1095911,2.26004,0.6263075,0.1030833,2.270368,0.4962496,0.1100125,1.894954,0.4526713,0.09998249,1.645607,0.6843561,0.04332924
3019,3.646276,-30.45576,2480.046,1041.625,1,1,0,0,0,7,6.691614,1.185374,1.073161,5.929098,6.454263,6.738877,6.895327,,1.239174,1.235146,1.248754,0.1105805,0.0656,0.32,,,,3.054893,0.5299349,0.05661254,2.356567,0.4397032,0.1092744,1.950567,0.3546328,0.1019748,1.991264,0.2778847,0.1112757,3.275842,0.2468352,0.1066506,2.123076,0.3874734,0.04286956
3021,3.61959,-30.45574,4550.401,1043.799,1,1,0,0,0,10,7.605536,2.486592,0.4075908,2.688736,8.083995,13.69633,18.82973,,1.307161,1.303463,1.31938,0.13115,0.008,0.32,-0.0180038,0.3044418,0.2257437,0.1085316,0.2674311,0.3853065,-0.06154215,0.2372617,0.6505117,0.3237418,0.1959397,0.5789997,0.2428597,0.1523299,0.6418474,0.4317618,0.1493053,0.5052418,0.9087873,0.2360062,0.2002896
3025,3.627947,-30.45573,3902.061,1044.493,1,1,0,0,0,9,9.243313,2.95758,0.3882334,1.362001,4.731709,10.18378,11.6909,,1.28981,1.286148,1.301549,0.1970592,0.0432,0.32,-0.2580786,0.4192756,0.2222719,0.2011183,0.405305,0.313275,1.082597,0.3376118,0.5999769,0.8911557,0.2691615,0.5730027,1.249975,0.2279349,0.5353527,1.299023,0.2043809,0.5035339,1.024356,0.3262235,0.1957646
3035,3.616544,-30.45568,4786.672,1049.332,1,1,0,0,0,9,11.79562,2.123438,0.2879046,2.85919,10.965,13.21196,15.08638,,1.320489,1.317242,1.339303,0.08807671,0.0048,0.32,-0.02840195,0.2257354,0.2254986,0.01420693,0.1964181,0.3922708,0.1627058,0.1770868,0.6412934,0.4639886,0.1413419,0.6110833,0.3744053,0.1092846,0.684862,0.2090127,0.108709,0.5234053,0.2825829,0.169284,0.2137924
3040,3.599478,-30.45568,6110.688,1049.535,1,1,0,0,0,9,6.787912,4.467009,0.8940586,2.787213,6.713056,16.45615,19.54079,,1.320445,1.313343,1.332458,0.2709924,0.016,0.32,-0.6661933,0.6877265,0.2340667,0.2032696,0.6604378,0.3342823,0.4890101,0.6215708,0.5015062,0.4962142,0.5004523,0.4696182,1.237053,0.4152064,0.4571104,2.523913,0.4176488,0.3416443,1.331611,0.6468508,0.141073
3051,3.640122,-30.45562,2957.505,1054.498,1,1,0,0,0,6,11.35404,2.304872,0.3123935,2.911284,10.90369,12.79221,14.63553,,1.26109,1.257156,1.27398,0.107289,0.0064,0.32,,,,-0.4061367,0.5410555,0.05923406,0.6870912,0.4547055,0.1114486,1.276947,0.3651221,0.1049233,1.083767,0.2929705,0.1091891,0.8614084,0.2589185,0.1057178,0.379389,0.4086363,0.04203937
3056,3.621051,-30.45562,4437.012,1055.059,1,1,0,0,0,10,8.281044,0.4008459,0.2272711,1.841533,7.879602,8.871157,10.28055,,1.305926,1.301473,1.320957,0.12377,0.056,0.32,0.01123137,0.2667943,0.2174269,0.534325,0.2295112,0.3869588,0.8718111,0.2064469,0.6355294,0.8484595,0.1687403,0.5774676,0.7469255,0.1272758,0.6800681,0.8140204,0.1278193,0.5099167,1.158127,0.1947186,0.217637
3058,3.652955,-30.45561,1961.856,1054.587,1,1,0,0,0,7,6.777114,2.208297,1.313249,6.093235,6.504576,6.827414,7.027575,,1.224497,1.21929,1.232033,0.1215161,0.0944,0.32,,,,4.828736,0.6143198,0.05592405,4.764854,0.5140474,0.1061357,4.247196,0.4137213,0.09946379,3.881545,0.3327903,0.1029955,4.930139,0.3191015,0.08471289,3.810714,0.4598116,0.04041131
3060,3.617862,-30.45557,4684.488,1059.5,1,1,0,0,0,9,8.458299,7.778471,0.1710176,1.537567,6.937698,8.629056,9.340314,,1.313675,1.30896,1.330192,0.1096523,0.0064,0.32,-0.008311802,0.2508816,0.2281458,0.6276472,0.2195199,0.3924717,0.5781593,0.1973153,0.6455276,0.6284138,0.1582208,0.6094275,0.4035652,0.1235655,0.6694739,0.3120473,0.1213918,0.5245619,0.4997521,0.1918612,0.207997
3089,3.600212,-30.45552,6053.742,1063.749,1,1,0,0,0,9,8.774802,4.384914,0.8966572,6.849255,8.766613,10.05268,11.46653,,1.327059,1.319409,1.341698,0.08653973,0.016,0.32,-0.3789687,0.2258373,0.2326549,0.1679211,0.2169831,0.3319386,0.6927271,0.2039273,0.499389,0.3394575,0.1638439,0.4696153,0.3852881,0.1309246,0.4927644,0.4094292,0.130476,0.3752042,0.4506111,0.2032325,0.1531786
3110,3.627793,-30.45544,3914.016,1071.016,1,1,0,0,0,10,8.158442,3.970752,0.3331309,2.037621,7.953072,10.35148,13.79662,,1.289796,1.286171,1.303285,0.1364385,0.0096,0.32,-0.002447074,0.3321805,0.2202827,0.1577683,0.3223561,0.3080796,0.6563029,0.2658413,0.6019635,0.3915052,0.2124731,0.5720314,0.5026634,0.1772478,0.5507378,0.4140298,0.1588082,0.5188103,0.8004863,0.2525867,0.2031369
