SOURCE_ID,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,phot_bp_rp_excess_factor
1328105700129097728,250.27107554393405,36.511278196299,-3.2138092876753674,-2.9876478375341953,0.33489195,0.4256273,-0.21919891498863278,0.33905846,19.81779,0.7788162,19.997772,19.218956,1.0573012,1.3451465
1328059039607993728,250.56584080885258,36.51793582918738,-2.6811046466222193,-2.557814625649482,0.5004259,0.7164627,0.18422297180051325,0.5295488,20.32016,1.069952,20.39276,19.322807,1.038282,1.7330714
1328080377006387584,250.21334848448984,36.35127102282891,-3.1083635157744482,-3.407124943834458,0.16663751,0.18911922,-0.018047364976254192,0.15723948,18.763037,0.5883236,18.736378,18.148054,0.9864575,1.4849088
1328056527044728192,250.39857143407062,36.38217973155116,-3.25122940032558,-2.416020883036275,0.12966171,0.15109977,0.041762573331688695,0.12641202,18.280436,0.6242008,18.51841,17.894209,1.0723827,1.1832421
1328054259301477376,250.53904788242207,36.38222814119702,-2.9522604603485374,-2.5205657138244675,0.4072656,0.4938854,0.3433621506398614,0.4763085,20.143333,0.8589287,20.53657,19.67764,0.9627299,1.1512475
1328058657351045888,250.45524208767188,36.4703628686993,-3.4486012815607543,-2.2875373965519437,0.09511823,0.12430366,0.13957273918489568,0.10254444,16.179914,0.91647816,16.332865,15.416387,3.381343,1.4803252
1328053885647198208,250.48741479204656,36.41772132249062,-3.814541192993253,-3.389300694328679,0.44510016,0.52973944,0.9682425541891451,0.4629234,18.589415,0.6336899,18.464386,17.830696,4.451425,1.6603738
1328058214969190528,250.40468384320752,36.491821572545646,-3.250368535623033,-3.181731132902765,0.1326941,0.14522423,0.16814143347971142,0.13317847,17.876759,0.7335491,17.403526,16.669977,1.1885036,2.4005642
1328056389605237120,250.37477977062494,36.36790432365601,-3.202710761242012,-2.547244668377229,0.13186254,0.15971808,0.05282413529181982,0.13110782,18.478815,0.6294346,18.726192,18.096758,0.9608775,1.1759163
1328055603634035328,250.5833533046105,36.44405513696135,-3.1141091824716383,-2.7080632202468617,0.030170038,0.03714036,0.07158860012417208,0.03188048,16.011505,0.96397686,16.402618,15.438642,0.99631214,1.2192929
1328056771865305728,250.44120915013545,36.41075275854048,-5.359120490695276,-5.233856892046608,0.48937148,0.5413425,-0.728638955758045,0.4574183,18.34247,0.63427734,18.057064,17.422787,3.1506984,1.9252026
1328057974456571136,250.4120607166223,36.46658094254534,-3.4898888037573013,-2.820552600240312,0.09021566,0.13748007,-0.08678983386841722,0.10660393,15.610807,0.78463936,15.09725,14.312611,3.0967257,2.5553625
1328105455310449792,250.35959038847574,36.53089688800154,-3.0810181733731743,-2.033416258186907,0.3494813,0.4372486,-0.09962466308468568,0.35056633,19.825056,0.73241997,20.131268,19.398848,1.0439435,1.1702948
1328058077530086400,250.39219952361378,36.4742470658927,-1.8991007443047483,-5.406584720613132,0.43010706,0.60759187,-0.03850349473025455,0.459678,18.25015,0.71396446,17.192131,16.478167,2.9356482,4.0744753
1328054431100237824,250.58473259795676,36.41160879207912,-3.053890284341846,-3.1007969419830017,0.41320238,0.47496837,0.5832354945687689,0.43701005,20.107513,0.84939766,20.490225,19.640827,0.9908881,1.1567569
1328058833446606208,250.48421999181463,36.50638831257494,-2.9815622990413226,-2.93687450526168,0.2208558,0.24233036,0.16035153189405837,0.23431306,19.194986,0.7003765,19.430212,18.729836,1.0055168,1.2300144
1328058146252259712,250.3744299005141,36.484617487820415,-3.075246987746037,-2.5175052000557807,0.13437292,0.1648335,0.07078577287436028,0.117265955,18.051807,0.72291565,18.174612,17.451696,0.96361524,1.3792316
1328055255738974976,250.5470508107636,36.433971471759854,-3.0669453424227537,-2.3269382029213275,0.18767753,0.20963849,-0.023094082390862948,0.2007036,19.05143,0.7438259,19.30581,18.561985,1.0037326,1.2344207
1328056496985735936,250.38537701474715,36.38539574951701,-1.5648732394580303,-0.9057899971853663,1.3923787,0.9430258,1.9535367272905333,1.1382072,20.76194,1.0989132,21.424809,20.325895,1.0654533,1.022813
1328104600617042816,250.31651152755313,36.463480853578005,-3.1638035194401195,-2.5750149019255804,0.110893354,0.13727053,0.15107557720399542,0.11734506,18.214693,0.6496811,18.190414,17.540733,1.0201929,1.5246803
1328109612838981248,250.30808006677404,36.612471800345865,-2.788457714970717,-2.2068760401876775,0.19161178,0.24069574,0.06740367325168208,0.1935347,19.246523,0.74884605,19.569738,18.820892,0.97516423,1.1614625
1328105390891321472,250.32584173630698,36.51745800490556,-3.0453185209696483,-2.824864225086716,0.5459188,0.6975151,0.23164865885820035,0.55462843,20.304379,0.79826736,20.672922,19.874655,1.0370109,1.1417961
1328082094993390976,250.24527120369146,36.44983043283299,-2.3879915795890545,-1.3612128803071157,0.4504592,0.6105321,1.0549717973331967,0.47669277,20.292942,0.8264599,20.741024,19.914564,0.9541945,1.0764308
1328031410075186816,250.23269298266825,36.26576593765394,0.1679906927129885,-1.2573695309188813,0.6182315,0.6858754,0.11920581468608055,0.54313296,20.375927,0.76932526,20.39139,19.622065,0.97316176,1.5578268
1328059658080526336,250.47242711238962,36.52963004077608,-1.9317396616977638,-1.3223102250062246,0.474353,0.52909714,-0.646702042044646,0.48345315,19.99307,1.0908623,20.495104,19.404242,1.1121802,1.180736
1328104669336380800,250.33964371347875,36.47523700490015,-3.0960131989913124,-2.7110097772847537,0.09132155,0.1218606,0.0647748967063039,0.095853195,17.892878,0.681015,18.177198,17.496183,1.0138326,1.1647197
1328056634419666560,250.39272945531917,36.410954515061405,-3.6805336838704394,-2.5669889113341426,0.211132,0.21395886,0.36976517553979704,0.18329418,18.732817,0.5551338,18.75309,18.197956,0.9476864,1.4007034
1328059692444180096,250.42086800479382,36.51309421864234,-2.6169415101949567,-1.8133174282040248,0.19225352,0.20361803,0.7935645799262305,0.18534864,18.295473,0.71118927,18.495932,17.784742,1.4907175,1.2767147
1328057459054298240,250.3778810901676,36.437788839480845,-3.1343413372718794,-2.8297859543900428,0.16241714,0.26260877,0.4228745756867761,0.16665266,18.373585,0.6612358,18.19838,17.537144,1.1272905,1.76169
